statistic	lower	mean	upper
all	0.286791	1.11636	1.54812
Africa	0.253107	0.651749	0.957357
CentralAmerica	0.232943	0.642809	0.977429
China	0.706571	1.671	2.41543
Europe	0.221384	0.796872	1.18823
India	1.18083	2.98134	4.50076
JapanKorea	0.21336	0.518729	0.756785
Oceania	0.128411	0.482021	0.726119
SouthAmerica	0.364551	1.05432	1.57052
SoutheastAsia	0.269206	0.71345	1.03853
USACanada	0.276015	0.914579	1.39238
