# BEAST v1.8.0, r5971
# Generated Thu Apr 10 03:44:22 BST 2014 [seed=1397097860619]
state	posterior	prior	likelihood	geoSiteModel.mu	nonZeroRateCount	geoRates1	geoRates2	geoRates3	geoRates4	geoRates5	geoRates6	geoRates7	geoRates8	geoRates9	geoRates10	geoRates11	geoRates12	geoRates13	geoRates14	geoRates15	geoRates16	geoRates17	geoRates18	geoRates19	geoRates20	geoRates21	geoRates22	geoRates23	geoRates24	geoRates25	geoRates26	geoRates27	geoRates28	geoRates29	geoRates30	geoRates31	geoRates32	geoRates33	geoRates34	geoRates35	geoRates36	geoRates37	geoRates38	geoRates39	geoRates40	geoRates41	geoRates42	geoRates43	geoRates44	geoRates45	geoRates46	geoRates47	geoRates48	geoRates49	geoRates50	geoRates51	geoRates52	geoRates53	geoRates54	geoRates55	geoRates56	geoRates57	geoRates58	geoRates59	geoRates60	geoRates61	geoRates62	geoRates63	geoRates64	geoRates65	geoRates66	geoRates67	geoRates68	geoRates69	geoRates70	geoRates71	geoRates72	geoRates73	geoRates74	geoRates75	geoRates76	geoRates77	geoRates78	geoRates79	geoRates80	geoRates81	geoRates82	geoRates83	geoRates84	geoRates85	geoRates86	geoRates87	geoRates88	geoRates89	geoRates90	geoIndicators1	geoIndicators2	geoIndicators3	geoIndicators4	geoIndicators5	geoIndicators6	geoIndicators7	geoIndicators8	geoIndicators9	geoIndicators10	geoIndicators11	geoIndicators12	geoIndicators13	geoIndicators14	geoIndicators15	geoIndicators16	geoIndicators17	geoIndicators18	geoIndicators19	geoIndicators20	geoIndicators21	geoIndicators22	geoIndicators23	geoIndicators24	geoIndicators25	geoIndicators26	geoIndicators27	geoIndicators28	geoIndicators29	geoIndicators30	geoIndicators31	geoIndicators32	geoIndicators33	geoIndicators34	geoIndicators35	geoIndicators36	geoIndicators37	geoIndicators38	geoIndicators39	geoIndicators40	geoIndicators41	geoIndicators42	geoIndicators43	geoIndicators44	geoIndicators45	geoIndicators46	geoIndicators47	geoIndicators48	geoIndicators49	geoIndicators50	geoIndicators51	geoIndicators52	geoIndicators53	geoIndicators54	geoIndicators55	geoIndicators56	geoIndicators57	geoIndicators58	geoIndicators59	geoIndicators60	geoIndicators61	geoIndicators62	geoIndicators63	geoIndicators64	geoIndicators65	geoIndicators66	geoIndicators67	geoIndicators68	geoIndicators69	geoIndicators70	geoIndicators71	geoIndicators72	geoIndicators73	geoIndicators74	geoIndicators75	geoIndicators76	geoIndicators77	geoIndicators78	geoIndicators79	geoIndicators80	geoIndicators81	geoIndicators82	geoIndicators83	geoIndicators84	geoIndicators85	geoIndicators86	geoIndicators87	geoIndicators88	geoIndicators89	geoIndicators90
0	-2749.425168937806	-101.40258509299404	-2648.0225838448123	0.1	90.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10000	-2007.38538096038	-157.8032670078807	-1849.5821139524992	1.1081541991867117	69.0	0.2306347215505499	2.0159259353747654	0.22130870977464162	0.49725045647655597	0.049031424605821376	0.8281565472967622	1.8330701151311957	2.382279279729555	0.723726828821102	1.704284276795646	1.6716450580734044	0.21940646875788672	1.3783693983300263	2.654256683209845	1.5605639630811767	0.5298901675547041	0.5655665979757989	0.7738234119586267	1.3782600431088272	2.311676464198841	3.4818179778755827	0.033414877922209256	2.5385322648348247	2.691765435685367	2.1286948283091314	1.423447735300868	0.4958909853175103	1.6147755532310806	1.2236880780200177	0.2949831227575622	3.138293784200528	1.6758803827522364	2.841505417334229	3.050081337869264	3.2661592172375418	0.8509472767806857	2.648615601663266	0.7952049415333012	0.8370129314405889	0.9085733758370499	0.9782587087590165	0.9353402069701253	1.7849382137537486	0.7360879055228979	0.9699706317473512	2.952759167877781	0.34793235663840394	1.5943089654752254	6.120029001869133	3.5623994077322356	1.8788699056955736	1.1035998047018711	8.41375295085721	2.3899200729894736	1.2824454890818193	2.8830615737220593	3.5161702261139163	0.9607004354384516	0.43697200681757464	2.628918624525952	3.146974544905574	0.23095369587915635	0.9436638841268523	0.7947940356970878	2.7448865641431937	1.5825420323128154	0.5489359786877919	0.25978073148772624	2.1671290999014707	0.12133514736903592	1.7282015626256055	0.9378483512420802	2.1419250596240174	0.47196424185440683	2.782838020516488	2.4451373369181995	1.0441365649208754	3.4370988045462023	1.3576583625941008	1.4002241769870831	2.3322425884776137	0.6942593814964595	0.8125761183834527	1.733123753170324	0.14169715338421388	1.1991322986322244	2.5355920840776753	1.1939558532554733	0.43957323637690154	1.177499718107477	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
20000	-1998.048775720594	-140.35178753817127	-1857.6969881824227	0.9133426596186314	62.0	1.074949451513342	1.0907195786263386	0.8132178021826478	0.41813492796357554	0.7512778790533523	1.290719367983965	0.9355845119607714	2.6686090821961015	0.9459020243101243	1.5588459116075835	0.8947684031873505	0.76451908462367	2.650134384032501	0.8421760167334467	0.26611403706063874	1.5914717792645687	3.8542136225992962	1.7029628897485736	0.27981739411102863	1.6954407504705684	2.0419226647239506	0.0744669578162832	0.35508814148178547	2.585960655530266	0.5648970919141526	1.4273556231805231	2.519021181474012	2.9445038925202587	4.150594941653698	0.13714627462174792	0.6746113325219525	1.270868559156104	1.742857297557613	0.44149614280274313	1.0516638583957512	1.446876094633849	3.393845118828015	1.2040518545040526	0.2595011473924844	1.018078953645152	0.866711453921198	0.09103281851369223	1.1745452715623321	0.7527255739995754	1.4514535068349406	4.60176172673134	1.5097456800542852	2.114072361824371	2.6708929454622887	3.4220690253133066	1.2010025215071174	0.7651428995226655	4.258657503738602	0.6367309169105148	1.6343181948886019	0.7358904951688982	1.8567455040500982	0.3757023518978246	0.8740325123411004	2.234211478367069	0.6404439810859599	1.1007159256762906	0.37601330790095383	0.4914825782393059	0.801952890498175	1.8107151717676477	0.628596434759785	0.9890186421148514	2.913044659788413	0.05792911841082144	6.404537944585364	0.3676551353637758	2.4005599113991796	0.5906575388463016	1.0267199736326675	3.8278992782360035	1.3411332535693836	1.484393447762604	1.4024332003829123	0.1439613672112684	0.5893985626503556	1.2409380086125004	0.5543589323517468	0.5670887892078225	0.42370957992957126	2.637833764748312	4.8616699577263125	0.3777500669380756	1.0187418783002298	1.24267505766835	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
30000	-1986.4543654497754	-126.83010018296136	-1859.624265266814	1.2025916013602758	67.0	0.4298637644780683	2.6262718826072855	1.1558516454065741	0.8297182368758793	0.16198640920471769	0.4876081089718268	0.652076221285903	1.5309601473794956	0.737586925111123	0.93884930268226	0.5444689204721371	0.6773136393939884	0.8522923445978078	1.6712356054576536	0.33754256704756913	0.2661777493393336	0.32561712912941165	2.0143579644002996	0.36419276411920254	1.6281059351953513	0.4748016500961923	0.3053363172832633	0.2695638685146717	3.564031399919005	0.3897995000309117	0.47908805306607677	0.6120707429122669	0.7717301634524949	0.37323089512980784	2.849465606566312	0.8195310449907963	3.2252186547964117	2.3103254926410655	0.2843207132205746	0.7701711898874378	1.475239605991254	1.167604112043198	0.7991042007835816	0.424450513737648	0.561888609236958	2.2188907453796434	0.04845519758556057	2.859408514567283	1.2853555994442722	0.16075756225250923	3.2784678961963074	1.8992322829712898	1.9706011408639081	4.581153034114503	1.1258625051441078	2.5159118420104063	0.42759167262138065	5.6523568148589245	2.2156225976644652	0.7570123708679405	0.6218746442638948	1.4853290163142472	0.1453155887275912	0.6843087980847851	1.1394142714539512	6.938508024698023	2.4636261894925457	1.0563630908417914	0.6662252223274465	0.11812587773236986	2.9157502138874385	0.37256395723931574	0.47396197461833883	1.9901112366027947	0.036187130710649586	0.6159314080230838	0.3462858941251709	2.3232556762225185	0.5263712720738909	2.2957931765271593	0.7497232554175989	4.120864910255439	1.3653665940878987	0.5801801279360963	0.589966798498517	0.6125775850749485	0.5010982064484981	1.5339963951486992	0.8501097425680931	0.43820984614255165	1.4965668219354	4.21817691001122	0.3180893945433744	0.2975532065844407	0.5814116559889153	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
40000	-1990.3010538633177	-122.50430051920145	-1867.7967533441163	1.2542617438641568	72.0	0.04961752768451162	1.5571653050524656	2.119747305939466	0.594124859500686	0.34249454094813064	1.381774748018351	1.2261396410122818	1.2840490978517032	0.753497482854716	2.0393755962719644	1.7091300649684598	0.1479106033556349	2.421835417819864	1.499024369254542	0.697808831466075	0.32814817978832567	0.36008349773042986	0.2860832361968124	0.6145003227624269	0.766387802062436	1.5950302513977908	0.49040115544932616	1.45846960553397	2.6629066579937284	0.4831065153796855	1.0333008961589043	1.9189034953587683	0.6574282153456169	0.354013603998963	1.5398295081108457	0.8816619569318325	0.538782700654547	2.827597637366477	0.12611972351642864	1.6368225986594058	1.0457265238067546	2.0190658989726527	3.319378447567048	1.557244141619173	0.7257929362702525	2.2797811533397887	0.16411172982508013	1.044486916143403	2.266943231053484	0.41772757497085344	2.9642610580379483	0.4341357913577013	2.005075268374849	1.7246282261134194	1.6296805019516054	0.6027965103959394	0.4209803578230686	7.167667259368229	1.5296700136395558	0.6350220866694138	0.6725160707015093	1.87905621201525	0.05079490335589923	0.3630757128267181	1.194767430183255	2.171661614082625	1.201079152520079	0.676009436219318	0.2646864027352351	0.18659657018236542	0.7113647607746262	0.4148000250350196	0.8524858592312141	5.6710203357626945	0.015330910868900706	0.4778651703519832	0.09508434387651563	0.8768206625413062	1.264797796162223	2.906697866441634	0.4786865405017194	2.5870516641371095	1.049841551106144	1.4837331097864395	2.1930977937658804	0.6801089981726787	1.4827900994775507	1.4178470509728394	0.4317335959855052	0.4821782880095141	0.06961163010866765	2.080714990474769	0.13464693888006196	0.9888121605624117	1.9026394548377659	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
50000	-2056.104124006852	-147.03509878920718	-1909.069025217645	1.4768596429568146	72.0	0.006336858779196862	2.074009016853358	4.232322610960652	1.4071182930767605	0.5141244959428822	0.7470144731723376	0.7555268233219415	2.9736095855749314	2.1143418746927303	1.0831720384597696	0.8481778463578534	0.22017819000367717	1.0017327114345607	1.2759920774778617	0.5430248951871001	1.0563362543418482	0.23951993489665205	1.3586306969683342	0.13021358269827388	0.7101776912922159	1.6795101338024991	0.49540561112361425	0.4937817664293845	2.1982247315809404	0.4034778416891359	2.064482622905979	0.5753255272097957	0.08714751186579087	0.1386795264044259	0.0673929365173978	1.3689479015496673	1.8372420044350697	2.0553936825560384	0.5183966761504584	1.5059240168814751	3.3148156763823473	1.7456346887138925	0.22284996308196187	1.2130198382404345	3.913776932738754	1.120273467972644	1.2272484605842395	2.9848737289486964	3.6964292457308896	1.5096327280115869	4.631778025912022	0.1612672811115961	1.2177387984685797	0.8151032598000348	2.516692453208451	0.4996028301407481	0.15932753689506113	8.62227840166423	0.6444122408111963	2.6243715976268995	3.5385540052240696	2.820808243014491	0.03463591223962016	1.636922165555334	2.1775220678060463	4.087325705766282	1.3161186376432912	2.2097263784867667	0.5125188393019612	0.45540636574922183	0.602355337238794	0.4614138711168678	0.43134046576039814	5.327947469583764	0.3791542583920151	0.27754598700927285	0.5084466504066234	2.8679187383237545	0.832420685924688	1.8336619441147364	2.3693084849219983	2.053237764607847	1.237048499541199	1.593740133449619	0.8124112884977311	4.892051751219214	2.2926022459847797	1.0549045776611867	2.098492253982818	0.1936959513836857	0.6593489368493447	0.7524720941408498	0.1175249064636809	0.45472406060102377	1.5403277766545318	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
60000	-2042.5262873038184	-135.1282755025221	-1907.3980118012964	1.2850349895778281	67.0	0.021842047159670534	3.659385032732107	1.187986704257907	1.0467618782011705	0.8748882402709809	0.36962091347919673	0.6912682846368668	0.8902400260660657	0.36875995704676057	1.2661786793871117	3.364718462425937	0.20391834954610694	0.9224487812031351	0.8329134325306424	0.383924582920058	0.7532564023983171	0.19010580304374583	1.8719703791204154	0.12149760137062128	0.621655554950507	0.4396097220003309	0.659730485808275	0.5968543157358114	3.1115332672113323	0.6342363084179461	0.9985531360624272	1.2767846044508193	0.05539316911912205	1.2085914350489484	0.5588383668074769	1.9705057206815528	3.0973772055569238	2.3600430644558514	0.6577603758890197	1.030569173098921	2.874840574127809	1.3818904375915304	0.7710156575501688	0.7624071143994305	2.355304149225285	0.9628032964825846	1.3941794537465175	1.2403021516583017	0.6680341254210265	0.7518418293999591	4.2544165495822455	1.39246321299789	0.23298337041560124	0.7980144152282345	1.8868618501226926	3.400989653353997	0.5399229451071885	8.295907307083976	5.257260092991552	1.0788467413427902	3.039268222316479	1.2685698213407615	0.08946622020806219	0.8553438800151486	1.2155809951730354	3.992443253421406	0.8636338398067804	1.2228426599637603	0.7512249013657674	1.4412492366752179	0.9146359624104148	0.25745454093601317	0.7264612599605256	0.13558840335718775	2.1803365749818373	1.5808525368247288	0.1812910554113125	1.4235572629062738	0.5517940124574442	0.7523607735152218	3.457944384685332	1.8119595864392288	1.5025673623077327	1.4453750377302992	0.811001677157514	2.527944232128434	1.708708470428909	2.1380288192608625	0.3686604161993747	0.6089445704190872	1.0752376075992403	3.1234096238367997	0.021720519407757374	1.2099210007825236	0.9852703075988566	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
70000	-2039.2068163234048	-148.61643096828135	-1890.5903853551235	1.3408231762668694	68.0	0.08044596586604899	1.2815677712903963	1.0526401425816085	0.06994240830307803	0.5094739404562304	2.11008513288042	1.1190700230992157	1.0059339898383066	0.16670209797561358	1.2025474776203413	0.06287355041855919	1.0896388210256394	2.3319043292075365	0.7979524864381301	0.12412499830830358	0.48592366424163913	0.45170716925794324	1.3244796466250282	0.175701641786615	4.004903117890711	3.2732443140010994	0.5787204084072944	0.08539198660142247	2.520733849187312	0.9907155230950566	1.5091491616556276	3.2979493525111714	0.14370852933826078	1.2878515785010949	0.20387433762427037	2.082002986927875	1.2242731534168272	2.802443990401096	1.0513859185438055	0.6459892676827654	2.135321866150125	2.792832532925989	3.303459323992563	0.9824163132011888	1.4290117326357616	0.41374318055320725	0.7633677558812931	3.282189909511189	2.9727757600340694	1.678937439014268	2.7381471515500393	1.2367377631970813	0.2030044631680701	2.12864472223548	2.6148310649179862	2.347379614060047	2.122199816450389	8.164455097236605	1.28372356735872	0.9053576474074102	0.9291417499828326	0.5404387336495539	0.2518724856629097	1.4637252196076525	0.7223216533632147	2.415604550206001	1.0437904155122664	1.9370333320266282	2.1927358020577823	1.18777969675069	0.559530320848731	0.6084222322801162	1.2989856873527328	1.7283026975961062	1.4344730126044636	1.1230563960593647	0.3504508452515824	2.4996965704406615	1.0535460213054577	0.45461237448711117	0.6830672634926228	7.132117726323709	1.8580348013820407	2.3965496084406306	0.35841118786472365	0.1448742691452743	1.211103096105677	2.740740954784588	0.4614799771027109	0.17800726018038635	2.490408801293946	2.0712301743551045	0.007350972248873317	3.752465861938996	4.248071492827446	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
80000	-2067.6116484027943	-152.8432711811915	-1914.7683772216028	1.2938877690470878	67.0	0.5009124501705541	0.9157029544014401	1.6730368100767203	0.27323269444147835	0.26156893392584046	2.24422968666827	0.8614729648836104	3.490840196958239	1.2292938687594404	1.4985387512529436	0.2499949499758428	0.5639967919874491	5.587184984377031	1.1466530272065036	1.3802685331517501	0.25329090614206345	0.34233954123740074	0.8944609553936401	0.2696158389770925	2.215291051840757	0.16277571548160275	0.8070645402757839	0.6840327765480778	3.105360447490023	1.1033399765238388	2.554553086327107	0.2730699281059545	0.20912637005522694	0.42022598865501826	0.030473213798543397	4.939096303275878	1.4419775526674474	2.076506292985536	0.32927543278825977	4.5966354820432045	1.363652866576014	1.8425865197257474	1.6617885550589708	0.11074662420611094	1.7464276637521285	0.20650273994736343	0.23351011434975041	2.4435349566986106	0.27464340817397326	3.4941180640718805	5.436741147282955	1.7802261533167176	2.460824709780634	3.685766694665041	2.9166698700088203	0.3672360587625264	0.8018286933188933	4.718318467822571	0.750339807731886	1.190830532974842	3.0529779051360424	0.37953176630769064	0.21250221874478992	1.8307409719026906	1.3945471757312513	5.461107540097239	0.8109485019141284	0.48533051682343786	0.5060995090050654	2.553931017252367	0.1224006667722952	0.6769698692537545	0.877688103568559	2.499685601648199	0.08751067316505173	0.2841858302370163	1.7603137089980454	0.5747497958204874	1.9328881690970758	2.291367832491349	1.561020455116968	4.407929308061489	2.732006907377931	2.3218471943857026	0.33913818905995197	1.4510929864570659	0.9587418085160432	4.77278626779518	1.65893033501739	0.1113485140507276	2.4368061642624084	1.236650508501376	0.007477492091284844	2.2091124561968662	2.474699711218481	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
90000	-2029.8861217010092	-150.75381319014465	-1879.1323085108645	1.1681822699689695	74.0	0.22304576050527875	1.523398517723551	0.5211431146052641	2.4564147522299726	0.912751813999733	1.4533702290776809	0.7128494072611444	2.4917949220612297	1.9182930830713187	1.3591953882613512	1.0716600262203815	0.6377928884286926	6.073701719329538	2.1663046033051416	0.7716045788557563	0.5749822305073355	0.740185510170695	1.4408373359151025	0.209384246444597	0.5756076252210761	0.24719255703932808	0.09984088970208443	4.175673773742583	1.4587448066158475	1.6840656867687913	2.4497812544519064	0.2530978489443424	0.18120866343591613	1.127039107711962	0.05357248262605573	1.3276698713087227	3.80845653620821	1.9449746330287283	0.8190844730899477	0.49582109483090603	3.6561752109761385	2.7862983940066584	0.6532946412385289	0.1426115072021183	0.5330864591326198	1.6562959341120893	5.6182539213169	1.4808970731334894	0.21363115153973847	1.0616412764932248	2.1323597358972095	4.307788095016477	2.6968894011520597	1.797780436206003	2.6947353823030618	0.7051146733416067	0.48567628441087624	6.305880707235871	0.8678626533758786	0.20263262103966725	0.5487268926955757	1.1320490089527515	0.8540293992131245	1.0334349106109206	2.4209043004379827	2.755753856715392	0.4291698323459781	1.0463442770308589	0.42901913500806005	1.3524507156699614	4.318450913284906	1.0421188978554277	2.279573527214113	2.74942680412649	0.26478234841742665	0.23026127714182132	0.16393285804066682	0.5808886606501465	4.476991426621489	1.549320714003629	2.5259008662919706	1.1822745342108978	1.9131647428983616	0.6606798993379841	0.9179788836827235	3.7080241839513803	0.7528252602556395	1.1388430353860088	2.110307398912001	0.41858995524739856	2.905050057191263	0.28484828478545693	0.1663350212928578	2.2531773417835086	1.3279696140870971	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
