virus	study_strain_name	date	region	country	general_location	ird_strain_name	ird_accession
H1N1	A/Aichi/86/2007	2007-10-26	JapanKorea	Japan	Aichi	A/Aichi/86/2007	AB451160
H1N1	A/Aichi/92/2007	2007-11-15	JapanKorea	Japan	Aichi	A/Aichi/92/2007	AB451162
H1N1	A/Aichi/96/2007	2007-12-05	JapanKorea	Japan	Aichi	A/Aichi/96/2007	AB451163
H1N1	A/Aichi/100/2007	2007-12-14	JapanKorea	Japan	Aichi	A/Aichi/100/2007	AB451164
H1N1	A/Aichi/103/2006	2006-01-24	JapanKorea	Japan	Aichi	A/Aichi/103/2006	AB255395
H1N1	A/Aichi/111/2006	2006-02-04	JapanKorea	Japan	Aichi	A/Aichi/111/2006	AB255396
H1N1	A/Aichi/125/2008	2008-12-04	JapanKorea	Japan	Aichi	A/Aichi/125/2008	AB510201
H1N1	A/Aichi/132/2006	2006-02-07	JapanKorea	Japan	Aichi	A/Aichi/132/2006	AB255397
H1N1	A/Aichi/150/2006	2006-01-17	JapanKorea	Japan	Aichi	A/Aichi/150/2006	AB255398
H1N1	A/Akita/86/2002	2002-XX-XX	JapanKorea	Japan	Akita	A/Akita/86/2002	AB117165
H1N1	A/Alabama/21/2006	2006-12-12	USACanada	USA	Alabama	A/Alabama/21/2006	KP458191
H1N1	A/Alabama/22/2006	2006-12-21	USACanada	USA	Alabama	A/Alabama/22/2006	KP457289
H1N1	A/Alabama/23/2006	2006-12-12	USACanada	USA	Alabama	A/Alabama/23/2006	KP456409
H1N1	A/Alabama/WRAIR1235P/2009	2009-04-01	USACanada	USA	Alabama	A/Alabama/WRAIR1235P/2009	CY100844
H1N1	A/Alaska/01/2009	2009-01-29	USACanada	USA	Alaska	A/Alaska/01/2009	KP456240
H1N1	A/Alaska/02/2008	2008-01-16	USACanada	USA	Alaska	A/Alaska/02/2008	KP458914
H1N1	A/Alaska/03/2008	2008-01-18	USACanada	USA	Alaska	A/Alaska/03/2008	KP457633
H1N1	A/Alaska/03/2009	2009-03-20	USACanada	USA	Alaska	A/Alaska/03/2009	KP457091
H1N1	A/Alaska/11/2003	2003-02-05	USACanada	USA	Alaska	A/Alaska/11/2003	KP456619
H1N1	A/Alaska/1173/00	2000-XX-XX	USACanada	USA	Alaska	A/Alaska/1173/2000	KP459120
H1N1	A/Andalucia/RR3681/2009	2009-03-31	Europe	Spain	Spain	A/Andalucia/RR3681/2009	GQ397644
H1N1	A/Anhui/Baohe186/2007	2007-01-27	NorthChina	China	Anhui	A/Anhui Baohe/186/2007	KP456637
H1N1	A/Anhui/Baohe1514/2008	2008-10-23	NorthChina	China	Anhui	A/Anhui Baohe/1514/2008	KP457549
H1N1	A/Anhui/Luyang171/2008	2008-10-27	NorthChina	China	Anhui	A/Anhui Luyang/171/2008	KP459353
H1N1	A/Aragon/RR-3207/2008	2008-11-07	Europe	Spain	Spain	A/Aragon/RR-3207/2008	KP457929
H1N1	A/Aragon/RR3217/2008	2008-11-24	Europe	Spain	Spain	A/Aragon/RR3217/2008	GQ397635
H1N1	A/Aragon/RR3309/2009	2009-01-14	Europe	Spain	Spain	A/Aragon/RR3309/2009	GQ397636
H1N1	A/Argentina/18/2008	2008-06-05	SouthAmerica	Argentina	Argentina	A/Argentina/18/2008	KP456223
H1N1	A/Argentina/81/2008	2008-06-04	SouthAmerica	Argentina	Argentina	A/Argentina/81/2008	KP458902
H1N1	A/Argentina/110/2008	2008-06-25	SouthAmerica	Argentina	Argentina	A/Argentina/110/2008	KP457096
H1N1	A/Argentina/204/2008	2008-06-30	SouthAmerica	Argentina	Argentina	A/Argentina/204/2008	KP458820
H1N1	A/Argentina/284/2008	2008-07-14	SouthAmerica	Argentina	Argentina	A/Argentina/284/2008	KP457503
H1N1	A/Argentina/295/2008	2008-07-11	SouthAmerica	Argentina	Argentina	A/Argentina/295/2008	KP456971
H1N1	A/Argentina/303/2008	2008-07-15	SouthAmerica	Argentina	Argentina	A/Argentina/303/2008	KP459000
H1N1	A/Argentina/307/2008	2008-07-14	SouthAmerica	Argentina	Argentina	A/Argentina/307/2008	KP456807
H1N1	A/Argentina/4152/2008	2008-07-23	SouthAmerica	Argentina	Argentina	A/Argentina/4152/2008	KP457987
H1N1	A/Argentina/R678/2003	2003-06-26	SouthAmerica	Argentina	Argentina	A/Argentina/R678/2003	KP459149
H1N1	A/Arizona/2/2003	2003-01-08	USACanada	USA	Arizona	A/Arizona/2/2003	KP456449
H1N1	A/Arizona/6/2003	2003-01-02	USACanada	USA	Arizona	A/Arizona/6/2003	KP457696
H1N1	A/Athens/41/2008	2008-01-08	Europe	Greece	Greece	A/Athens/41/2008	KP458208
H1N1	A/Auckland/8/2007	2007-06-18	Oceania	NewZealand	NewZealand	A/Auckland/8/2007	KP456765
H1N1	A/Auckland/16/2007	2007-06-27	Oceania	NewZealand	NewZealand	A/Auckland/16/2007	KP458709
H1N1	A/Auckland/30/2006	2006-06-29	Oceania	NewZealand	NewZealand	A/Auckland/30/2006	KP459333
H1N1	A/Auckland/579/2000	2000-08-30	Oceania	NewZealand	NewZealand	A/Auckland/579/2000	KP457066
H1N1	A/Auckland/580/2000	2000-09-06	Oceania	NewZealand	NewZealand	A/Auckland/580/2000	KP459162
H1N1	A/Auckland/581/2000	2000-09-05	Oceania	NewZealand	NewZealand	A/Auckland/581/2000	KP458596
H1N1	A/Auckland/582/2000	2000-11-09	Oceania	NewZealand	NewZealand	A/Auckland/582/2000	KP456547
H1N1	A/Auckland/584/2000	2000-09-13	Oceania	NewZealand	NewZealand	A/Auckland/584/2000	KP457585
H1N1	A/Auckland/585/2000	2000-09-15	Oceania	NewZealand	NewZealand	A/Auckland/585/2000	KP457870
H1N1	A/Auckland/586/2000	2000-09-20	Oceania	NewZealand	NewZealand	A/Auckland/586/2000	KP459028
H1N1	A/Auckland/587/2000	2000-09-19	Oceania	NewZealand	NewZealand	A/Auckland/587/2000	KP456893
H1N1	A/Auckland/590/2000	2000-09-26	Oceania	NewZealand	NewZealand	A/Auckland/590/2000	KP456391
H1N1	A/Auckland/591/2000	2000-10-02	Oceania	NewZealand	NewZealand	A/Auckland/591/2000	KP458283
H1N1	A/Auckland/595/2000	2000-11-03	Oceania	NewZealand	NewZealand	A/Auckland/595/2000	KP457931
H1N1	A/Auckland/597/2000	2000-10-30	Oceania	NewZealand	NewZealand	A/Auckland/597/2000	KP456836
H1N1	A/Auckland/605/2001	2001-07-05	Oceania	NewZealand	NewZealand	A/Auckland/605/2001	KP459301
H1N1	A/Auckland/606/2001	2001-07-23	Oceania	NewZealand	NewZealand	A/Auckland/606/2001	KP456999
H1N1	A/Auckland/619/2005	2005-07-01	Oceania	NewZealand	NewZealand	A/Auckland/619/2005	KP457226
H1N1	A/Austria/396325/2007	2007-12-03	Europe	Austria	Austria	A/Austria/396325/2007	CY029780
H1N1	A/Austria/397829/2007	2007-12-10	Europe	Austria	Austria	A/Austria/397829/2007	CY029782
H1N1	A/Austria/399282/2007	2007-12-17	Europe	Austria	Austria	A/Austria/399282/2007	CY029783
H1N1	A/Austria/399864/2007	2007-12-17	Europe	Austria	Austria	A/Austria/399864/2007	CY029784
H1N1	A/Austria/400115/2007	2007-12-20	Europe	Austria	Austria	A/Austria/400115/2007	CY029785
H1N1	A/Austria/400611/2008	2008-01-02	Europe	Austria	Austria	A/Austria/400611/2008	CY029786
H1N1	A/Austria/401520/2008	2008-01-06	Europe	Austria	Austria	A/Austria/401520/2008	CY029791
H1N1	A/Austria/401927/2008	2008-01-09	Europe	Austria	Austria	A/Austria/401927/2008	CY029793
H1N1	A/Austria/402127/2008	2008-01-08	Europe	Austria	Austria	A/Austria/402127/2008	CY029794
H1N1	A/Austria/402129/2008	2008-01-08	Europe	Austria	Austria	A/Austria/402129/2008	CY029795
H1N1	A/Austria/402931/2008	2008-01-14	Europe	Austria	Austria	A/Austria/402931/2008	CY029804
H1N1	A/Austria/402943/2008	2008-01-13	Europe	Austria	Austria	A/Austria/402943/2008	CY029808
H1N1	A/Austria/402944/2008	2008-01-12	Europe	Austria	Austria	A/Austria/402944/2008	CY029809
H1N1	A/Austria/403617/2008	2008-01-16	Europe	Austria	Austria	A/Austria/403617/2008	CY029811
H1N1	A/Austria/403620/2008	2008-01-16	Europe	Austria	Austria	A/Austria/403620/2008	CY029812
H1N1	A/Austria/403625/2008	2008-01-15	Europe	Austria	Austria	A/Austria/403625/2008	CY029814
H1N1	A/Austria/404285/2008	2008-01-17	Europe	Austria	Austria	A/Austria/404285/2008	CY029819
H1N1	A/Austria/404287/2008	2008-01-17	Europe	Austria	Austria	A/Austria/404287/2008	CY029820
H1N1	A/Austria/404340/2008	2008-01-17	Europe	Austria	Austria	A/Austria/404340/2008	CY029823
H1N1	A/Austria/404342/2008	2008-01-18	Europe	Austria	Austria	A/Austria/404342/2008	CY029824
H1N1	A/Austria/404345/2008	2008-01-21	Europe	Austria	Austria	A/Austria/404345/2008	CY029825
H1N1	A/Austria/404577/2008	2008-01-22	Europe	Austria	Austria	A/Austria/404577/2008	CY029826
H1N1	A/Austria/404596/2008	2008-01-20	Europe	Austria	Austria	A/Austria/404596/2008	CY029828
H1N1	A/Austria/404817/2008	2008-01-23	Europe	Austria	Austria	A/Austria/404817/2008	CY029832
H1N1	A/Ayutthaya/1720/2004	2004-09-16	SoutheastAsia	Thailand	Thailand	A/Ayutthaya/1720/2004	KP459073
H1N1	A/Baden-Wuerttemberg/3/2006	2006-XX-XX	Europe	Germany	Germany	A/Baden Wuerttemberg/3/2006	KP458531
H1N1	A/Baden-Wuerttemberg/4/2006	2006-XX-XX	Europe	Germany	Germany	A/Baden Wuerttemberg/4/2006	KP458376
H1N1	A/Baden-Wuerttemberg/5/2006	2006-XX-XX	Europe	Germany	Germany	A/Baden Wuerttemberg/5/2006	KP456362
H1N1	A/Baleares/RR3205/2008	2008-11-10	Europe	Spain	Spain	A/Baleares/RR3205/2008	GQ397632
H1N1	A/Baleares/RR3210/2008	2008-11-21	Europe	Spain	Spain	A/Baleares/RR3210/2008	GQ397634
H1N1	A/Baleares/RR3393/2009	2009-01-19	Europe	Spain	Spain	A/Baleares/RR3393/2009	GQ397640
H1N1	A/Baleares/RR3418/2009	2009-01-29	Europe	Spain	Spain	A/Baleares/RR3418/2009	GQ397642
H1N1	A/Bangkok/1406/2004	2004-08-03	SoutheastAsia	Thailand	Thailand	A/Bangkok/1406/2004	KP458651
H1N1	A/Bangkok/1544/2004	2004-08-31	SoutheastAsia	Thailand	Thailand	A/Bangkok/1544/2004	KP457612
H1N1	A/Bangladesh/0886/2007	2007-07-10	India	Bangladesh	Bangladesh	A/Bangladesh/0886/2007	KP456912
H1N1	A/Bangladesh/1009/2008	2008-07-09	India	Bangladesh	Bangladesh	A/Bangladesh/1009/2008	KP457822
H1N1	A/Bangladesh/2020/2008	2008-07-16	India	Bangladesh	Bangladesh	A/Bangladesh/2020/2008	KP458218
H1N1	A/Bangladesh/2276/2007	2007-07-30	India	Bangladesh	Bangladesh	A/Bangladesh/2276/2007	KP458014
H1N1	A/Bangladesh/3003/2008	2008-08-06	India	Bangladesh	Bangladesh	A/Bangladesh/3003/2008	KP458906
H1N1	A/Bangladesh/3896/2007	2007-07-11	India	Bangladesh	Bangladesh	A/Bangladesh/3896/2007	KP456208
H1N1	A/Bangladesh/5057/2007	2007-06-20	India	Bangladesh	Bangladesh	A/Bangladesh/5057/2007	KP457936
H1N1	A/Bangladesh/6023/2007	2007-06-24	India	Bangladesh	Bangladesh	A/Bangladesh/6023/2007	KP458704
H1N1	A/Bangladesh/6202/2007	2007-07-05	India	Bangladesh	Bangladesh	A/Bangladesh/6202/2007	KP456799
H1N1	A/Bangladesh/6666/2008	2008-07-15	India	Bangladesh	Bangladesh	A/Bangladesh/6666/2008	KP458929
H1N1	A/Bangladesh/9067/2008	2008-08-02	India	Bangladesh	Bangladesh	A/Bangladesh/9067/2008	KP456333
H1N1	A/Barcelona/00083/2008	2008-01-03	Europe	Spain	Spain	A/Barcelona/00083/2008	KP457217
H1N1	A/Beijing-Huairou/1117/2008	2008-12-12	NorthChina	China	Beijing	A/Beijing Huairou/1117/2008	KP458132
H1N1	A/Beijing-Xicheng/1278/2008	2008-12-09	NorthChina	China	Beijing	A/Beijing Xicheng/1278/2008	KP458819
H1N1	A/Beijing/134/2005	2005-11-14	NorthChina	China	Beijing	A/Beijing/134/2005	KP459236
H1N1	A/Beijing/Huairou53/2007	2007-01-25	NorthChina	China	Beijing	A/Beijing Huairou/53/2007	KP458470
H1N1	A/Beijing/Huairou166/2008	2008-11-10	NorthChina	China	Beijing	A/Beijing Huairou/166/2008	KP457153
H1N1	A/Beijing/Huairou190/2008	2008-11-21	NorthChina	China	Beijing	A/Beijing Huairou/190/2008	KP457366
H1N1	A/Beijing/Xicheng1112/2007	2007-01-29	NorthChina	China	Beijing	A/Beijing Xicheng/1112/2007	KP458787
H1N1	A/Beijing/Xuanwu1199/2008	2008-10-14	NorthChina	China	Beijing	A/Beijing Xuanwu/1199/2008	KP458078
H1N1	A/Belem/241/2008	2008-05-05	SouthAmerica	Brazil	Brazil	A/Belem/241/2008	KP456630
H1N1	A/Belgium/G257/2008	2008-01-06	Europe	Belgium	Belgium	A/Belgium/G257/2008	KP459061
H1N1	A/Berlin/1/2008	2008-01-10	Europe	Germany	Germany	A/Berlin/1/2008	KP456446
H1N1	A/Berlin/6/2006	2006-XX-XX	Europe	Germany	Germany	A/Berlin/6/2006	KP457264
H1N1	A/Berlin/9/2006	2006-XX-XX	Europe	Germany	Germany	A/Berlin/9/2006	KP459012
H1N1	A/Berlin/13/2006	2006-XX-XX	Europe	Germany	Germany	A/Berlin/13/2006	KP458913
H1N1	A/Berlin/18/2005	2005-XX-XX	Europe	Germany	Germany	A/Berlin/18/2005	KP457437
H1N1	A/Berlin/60/2005	2005-XX-XX	Europe	Germany	Germany	A/Berlin/60/2005	KP456888
H1N1	A/Bogota/WRAIR0088N/2009	2009-06-10	CentralAmerica	Colombia	Colombia	A/Bogota/WRAIR0088N/2009	CY069309
H1N1	A/Bogota/WRAIR0088N/2009	2009-06-10	SouthAmerica	Colombia	Colombia	A/Bogota/WRAIR0088N/2009	CY069309
H1N1	A/Boston/6/2009	2009-02-02	USACanada	USA	Massachusetts	A/Boston/6/2009	CY089035
H1N1	A/Boston/11/2009	2009-02-08	USACanada	USA	Massachusetts	A/Boston/11/2009	CY080642
H1N1	A/Boston/23/2009	2009-02-18	USACanada	USA	Massachusetts	A/Boston/23/2009	CY089059
H1N1	A/Boston/26/2008	2008-02-03	USACanada	USA	Massachusetts	A/Boston/26/2008	KP457906
H1N1	A/Boston/30/2009	2009-02-20	USACanada	USA	Massachusetts	A/Boston/30/2009	CY080737
H1N1	A/Boston/36/2009	2009-02-24	USACanada	USA	Massachusetts	A/Boston/36/2009	CY080761
H1N1	A/Boston/37/2009	2009-02-24	USACanada	USA	Massachusetts	A/Boston/37/2009	CY080769
H1N1	A/Boston/43/2009	2009-03-01	USACanada	USA	Massachusetts	A/Boston/43/2009	CY080809
H1N1	A/Boston/48/2009	2009-02-13	USACanada	USA	Massachusetts	A/Boston/48/2009	CY080825
H1N1	A/Boston/59/2009	2009-02-28	USACanada	USA	Massachusetts	A/Boston/59/2009	CY089107
H1N1	A/Boston/65/2009	2009-03-09	USACanada	USA	Massachusetts	A/Boston/65/2009	CY080897
H1N1	A/Boston/70/2009	2009-03-21	USACanada	USA	Massachusetts	A/Boston/70/2009	CY089123
H1N1	A/Boston/89/2009	2009-02-23	USACanada	USA	Massachusetts	A/Boston/89/2009	CY080993
H1N1	A/Boston/91/2009	2009-02-22	USACanada	USA	Massachusetts	A/Boston/91/2009	CY081001
H1N1	A/Brandenburg/1/2006	2006-XX-XX	Europe	Germany	Germany	A/Brandenburg/1/2006	KP459203
H1N1	A/Brazil/015/00	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/015/00	DQ336005
H1N1	A/Brazil/099/01	2001-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/099/01	DQ335992
H1N1	A/Brazil/202/2000	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/202/2000	AJ457889
H1N1	A/Brazil/504/2006	2006-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/504/2006	KP459018
H1N1	A/Brazil/529/2008	2008-05-29	SouthAmerica	Brazil	Brazil	A/Brazil/529/2008	KP456700
H1N1	A/Brazil/1059/2008	2008-06-06	SouthAmerica	Brazil	Brazil	A/Brazil/1059/2008	KP456298
H1N1	A/Brazil/1067/2008	2008-03-10	SouthAmerica	Brazil	Brazil	A/Brazil/1067/2008	KP457042
H1N1	A/Brazil/1602/2008	2008-07-28	SouthAmerica	Brazil	Brazil	A/Brazil/1602/2008	KP456212
H1N1	A/Brazil/1633/2008	2008-03-31	SouthAmerica	Brazil	Brazil	A/Brazil/1633/2008	KP457277
H1N1	A/Brazil/1892/2008	2008-07-28	SouthAmerica	Brazil	Brazil	A/Brazil/1892/2008	KP458151
H1N1	A/Brazil/2410/2008	2008-04-28	SouthAmerica	Brazil	Brazil	A/Brazil/2410/2008	KP458231
H1N1	A/Brazil/5943/2008	2008-08-04	SouthAmerica	Brazil	Brazil	A/Brazil/5943/2008	KP457732
H1N1	A/Bremen/4/2005	2005-XX-XX	Europe	Germany	Germany	A/Bremen/4/2005	KP458256
H1N1	A/Bremen/5/2005	2005-XX-XX	Europe	Germany	Germany	A/Bremen/5/2005	KP457323
H1N1	A/Brisbane/1/2008	2008-01-03	Oceania	Australia	Queensland	A/Brisbane/1/2008	KP456464
H1N1	A/Brisbane/1/2009	2009-01-08	Oceania	Australia	Queensland	A/Brisbane/1/2009	KP456607
H1N1	A/Brisbane/10/2009	2009-02-06	Oceania	Australia	Queensland	A/Brisbane/10/2009	KP457481
H1N1	A/Brisbane/11/2009	2009-01-29	Oceania	Australia	Queensland	A/Brisbane/11/2009	KP458430
H1N1	A/Brisbane/12/2009	2009-02-12	Oceania	Australia	Queensland	A/Brisbane/12/2009	KP459289
H1N1	A/Brisbane/13/2009	2009-02-13	Oceania	Australia	Queensland	A/Brisbane/13/2009	KP458621
H1N1	A/Brisbane/59/2007	2007-07-01	Oceania	Australia	Queensland	A/Brisbane/59/2007	KP458398
H1N1	A/Brisbane/193/2004	2004-12-23	Oceania	Australia	Queensland	A/Brisbane/193/2004	KP456426
H1N1	A/Brisbane/265/2005	2005-10-05	Oceania	Australia	Queensland	A/Brisbane/265/2005	KP457362
H1N1	A/Brisbane/270/206	2006-09-23	Oceania	Australia	Queensland	A/Brisbane/270/2006	KP459124
H1N1	A/Brisbane/297/2006	2006-11-26	Oceania	Australia	Queensland	A/Brisbane/297/2006	KP456838
H1N1	A/Brisbane/308/2007	2007-09-02	Oceania	Australia	Queensland	A/Brisbane/308/2007	KP457749
H1N1	A/Brisbane/334/2007	2007-09-11	Oceania	Australia	Queensland	A/Brisbane/334/2007	KP457023
H1N1	A/Bucuresti/134/2008	2008-01-14	Europe	Romania	Romania	A/Bucuresti/134/2008	KP458980
H1N1	A/Bucuresti/136/2008	2008-01-14	Europe	Romania	Romania	A/Bucuresti/136/2008	KP456205
H1N1	A/Bucuresti/229/2008	2008-01-21	Europe	Romania	Romania	A/Bucuresti/229/2008	KP456439
H1N1	A/Bulgaria/155/2008	2008-01-21	Europe	Bulgaria	Bulgaria	A/Bulgaria/155/2008	KP457328
H1N1	A/Busan/01/2009	2009-01-02	JapanKorea	SouthKorea	SouthKorea	A/Busan/01/2009	KP459312
H1N1	A/Busan/02/2007	2007-XX-XX	JapanKorea	SouthKorea	SouthKorea	A/Busan/02/2007	KP456278
H1N1	A/Busan/03/2007	2007-XX-XX	JapanKorea	SouthKorea	SouthKorea	A/Busan/03/2007	KP459305
H1N1	A/Caen/1670/2006	2006-XX-XX	Europe	France	France	A/Caen/1670/2006	KP456855
H1N1	A/Caen/1951/2006	2006-XX-XX	Europe	France	France	A/Caen/1951/2006	KP457976
H1N1	A/California/1/2003	2003-01-06	USACanada	USA	California	A/California/1/2003	KP456564
H1N1	A/California/02/2007	2007-01-29	USACanada	USA	California	A/California/02/2007	KP458620
H1N1	A/California/09/2006	2006-12-14	USACanada	USA	California	A/California/09/2006	KP458627
H1N1	A/California/10/2006	2006-12-06	USACanada	USA	California	A/California/10/2006	KP457174
H1N1	A/California/26/2005	2005-11-09	USACanada	USA	California	A/California/26/2005	KP458262
H1N1	A/California/27/2005	2005-11-21	USACanada	USA	California	A/California/27/2005	KP458322
H1N1	A/California/UR06-0125/2007	2007-01-30	USACanada	USA	California	A/California/UR06-0125/2007	KP459202
H1N1	A/California/UR06-0440/2007	2007-02-27	USACanada	USA	California	A/California/UR06-0440/2007	KP458508
H1N1	A/California/VRDL151/2009	2009-04-28	USACanada	USA	California	A/California/VRDL151/2009	CY070911
H1N1	A/California/VRDL153/2009	2009-04-27	USACanada	USA	California	A/California/VRDL153/2009	CY073813
H1N1	A/California/VRDL190/2009	2009-04-29	USACanada	USA	California	A/California/VRDL190/2009	CY092337
H1N1	A/California/VRDL202/2009	2009-04-29	USACanada	USA	California	A/California/VRDL202/2009	CY074139
H1N1	A/California/VRDL213/2009	2009-04-29	USACanada	USA	California	A/California/VRDL213/2009	CY074163
H1N1	A/California/VRDL217/2009	2009-04-29	USACanada	USA	California	A/California/VRDL217/2009	CY074179
H1N1	A/California/VRDL220/2009	2009-04-29	USACanada	USA	California	A/California/VRDL220/2009	CY074203
H1N1	A/California/VRDL221/2009	2009-04-29	USACanada	USA	California	A/California/VRDL221/2009	CY074211
H1N1	A/California/VRDL224/2009	2009-04-29	USACanada	USA	California	A/California/VRDL224/2009	CY074235
H1N1	A/California/VRDL239/2009	2009-04-29	USACanada	USA	California	A/California/VRDL239/2009	CY074315
H1N1	A/California/VRDL252/2009	2009-04-29	USACanada	USA	California	A/California/VRDL252/2009	CY074355
H1N1	A/California/VRDL254/2009	2009-04-29	USACanada	USA	California	A/California/VRDL254/2009	CY074363
H1N1	A/California/VRDL258/2009	2009-05-01	USACanada	USA	California	A/California/VRDL258/2009	CY074379
H1N1	A/California/VRDL267/2009	2009-04-27	USACanada	USA	California	A/California/VRDL267/2009	CY074395
H1N1	A/California/VRDL281/2009	2009-05-05	USACanada	USA	California	A/California/VRDL281/2009	CY074443
H1N1	A/California/VRDL284/2009	2009-05-02	USACanada	USA	California	A/California/VRDL284/2009	CY074459
H1N1	A/Cambodia/21/2007	2007-10-01	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/21/2007	KP456899
H1N1	A/Cambodia/365/2007	2007-08-21	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/365/2007	KP459142
H1N1	A/Cambodia/0371/2007	2007-08-09	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/0371/2007	KP457465
H1N1	A/Cambodia/0374/2007	2007-08-10	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/0374/2007	KP457601
H1N1	A/Cambodia/502/2007	2007-08-27	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/502/2007	KP458836
H1N1	A/Cambodia/Q015/2006	2006-05-07	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/Q015/2006	KP457225
H1N1	A/Cambodia/Q024/2006	2006-04-16	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/Q024/2006	KP456242
H1N1	A/Cambodia/Q061/2006	2006-04-28	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/Q061/2006	KP458744
H1N1	A/Cambodia/Q069/2006	2006-04-28	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/Q069/2006	KP457932
H1N1	A/Cambodia/Q210/2006	2006-05-10	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/Q210/2006	FJ865229
H1N1	A/Cambodia/Q290/2006	2006-04-23	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/Q290/2006	KP458549
H1N1	A/Cambodia/Q299/2006	2006-04-25	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/Q299/2006	KP459175
H1N1	A/Cambodia/R012/2007	2007-10-05	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/R012/2007	KP456708
H1N1	A/Cambodia/R024/2007	2007-09-17	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/R024/2007	KP457469
H1N1	A/Cambodia/R105/2007	2007-08-31	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/R105/2007	KP456350
H1N1	A/Cambodia/R173/2007	2007-10-04	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/R173/2007	KP457257
H1N1	A/Cambodia/R174/2007	2007-09-13	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/R174/2007	KP458544
H1N1	A/Cambodia/R198/2007	2007-08-03	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/R198/2007	KP459194
H1N1	A/Cambodia/S101/2008	2008-10-02	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/S101/2008	FJ865238
H1N1	A/Cambodia/S105/2008	2008-09-16	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/S105/2008	KP459157
H1N1	A/Cambodia/S128/2008	2008-08-20	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/S128/2008	KP457980
H1N1	A/Cambodia/S136/2008	2008-08-07	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/S136/2008	KP457241
H1N1	A/Cambodia/S169/2008	2008-09-06	SoutheastAsia	Cambodia	Cambodia	A/Cambodia/S169/2008	KP456506
