virus	study_strain_name	date	region	country	general_location	ird_strain_name	ird_accession
H1N1	A/Aichi/2/2006	2006-01-04	JapanKorea	Japan	Aichi	A/Aichi/2/2006	AB255389
H1N1	A/Aichi/8/2009	2009-01-08	JapanKorea	Japan	Aichi	A/Aichi/8/2009	AB510203
H1N1	A/Aichi/9/2009	2009-01-13	JapanKorea	Japan	Aichi	A/Aichi/9/2009	AB510204
H1N1	A/Aichi/11/2006	2006-01-16	JapanKorea	Japan	Aichi	A/Aichi/11/2006	AB255390
H1N1	A/Aichi/11/2008	2008-01-09	JapanKorea	Japan	Aichi	A/Aichi/11/2008	AB451165
H1N1	A/Aichi/16/2008	2008-01-09	JapanKorea	Japan	Aichi	A/Aichi/16/2008	AB451166
H1N1	A/Aichi/17/2006	2006-01-17	JapanKorea	Japan	Aichi	A/Aichi/17/2006	AB255391
H1N1	A/Aichi/27/2007	2007-02-13	JapanKorea	Japan	Aichi	A/Aichi/27/2007	AB453343
H1N1	A/Aichi/28/2008	2008-01-17	JapanKorea	Japan	Aichi	A/Aichi/28/2008	AB451167
H1N1	A/Aichi/29/2009	2009-01-19	JapanKorea	Japan	Aichi	A/Aichi/29/2009	AB510205
H1N1	A/Aichi/37/2009	2009-01-22	JapanKorea	Japan	Aichi	A/Aichi/37/2009	AB510206
H1N1	A/Aichi/44/2008	2008-02-02	JapanKorea	Japan	Aichi	A/Aichi/44/2008	AB451168
H1N1	A/Aichi/46/2006	2006-01-13	JapanKorea	Japan	Aichi	A/Aichi/46/2006	AB255393
H1N1	A/Aichi/60/2007	2007-04-16	JapanKorea	Japan	Aichi	A/Aichi/60/2007	AB453345
H1N1	A/Aichi/70/2008	2008-01-12	JapanKorea	Japan	Aichi	A/Aichi/70/2008	AB451169
H1N1	A/Aichi/71/2008	2008-01-22	JapanKorea	Japan	Aichi	A/Aichi/71/2008	AB451170
H1N1	A/Aichi/74/2008	2008-02-27	JapanKorea	Japan	Aichi	A/Aichi/74/2008	AB451171
H1N1	A/Aichi/76/2008	2008-02-19	JapanKorea	Japan	Aichi	A/Aichi/76/2008	AB445014
H1N1	A/Aichi/83/2007	2007-10-10	JapanKorea	Japan	Aichi	A/Aichi/83/2007	AB451158
H1N1	A/Aichi/84/2009	2009-01-29	JapanKorea	Japan	Aichi	A/Aichi/84/2009	AB510207
