statistic	lower	mean	upper
all	0.723238	0.788457	0.845059
Europe	0.322669	0.596896	0.75752
India	0.790851	1.69972	2.68588
JapanKorea	0.300112	0.610225	0.838737
NorthChina	0.256804	0.499003	0.651402
Oceania	0.359996	0.549464	0.743235
SouthAmerica	0.237618	0.668885	0.962448
SouthChina	0.164912	0.594829	0.752722
SoutheastAsia	0.34934	0.965059	1.02638
USACanada	0.328218	0.920798	1.39397
USACanada_SouthAmerica	0.301669	0.893719	1.36993
USACanada_Europe	0.396638	0.920937	1.35679
USACanada_India	0.673817	1.59112	2.4642
USACanada_NorthChina	0.294651	0.745539	1.16735
USACanada_SouthChina	0.226656	0.765413	1.22908
USACanada_JapanKorea	0.380668	0.854063	1.25246
USACanada_SoutheastAsia	0.361385	0.991774	1.37424
USACanada_Oceania	0.338913	0.93408	1.43454
SouthAmerica_Europe	0.358224	0.702456	0.929946
SouthAmerica_India	0.454476	1.40587	2.4581
SouthAmerica_NorthChina	0.243498	0.572735	0.77337
SouthAmerica_SouthChina	0.188235	0.622696	0.821823
SouthAmerica_JapanKorea	0.276084	0.665729	0.910556
SouthAmerica_SoutheastAsia	0.318574	0.882827	1.00955
SouthAmerica_Oceania	0.299809	0.605053	0.781229
Europe_India	0.705279	1.80312	2.87953
Europe_NorthChina	0.286944	0.560319	0.715522
Europe_SouthChina	0.264869	0.640117	0.812135
Europe_JapanKorea	0.386382	0.684563	0.877198
Europe_SoutheastAsia	0.376079	0.985317	1.13113
Europe_Oceania	0.351914	0.618546	0.795141
India_NorthChina	0.385901	1.10278	1.81124
India_SouthChina	0.309902	1.15082	1.92762
India_JapanKorea	0.441644	1.13325	1.72098
India_SoutheastAsia	0.548363	1.51051	2.55621
India_Oceania	0.56469	1.31277	2.05449
NorthChina_SouthChina	0.385895	0.888021	1.07659
NorthChina_JapanKorea	0.312768	0.633994	0.834673
NorthChina_SoutheastAsia	0.306742	0.779582	0.839075
NorthChina_Oceania	0.295148	0.528852	0.695582
SouthChina_JapanKorea	0.318299	0.801939	1.11553
SouthChina_SoutheastAsia	0.269552	1.03824	1.19743
SouthChina_Oceania	0.238393	0.595089	0.74813
JapanKorea_SoutheastAsia	0.406335	1.30076	1.5432
JapanKorea_Oceania	0.347689	0.67134	0.914566
SoutheastAsia_Oceania	0.403791	0.828705	0.872834
NorthChina_SouthChina_USACanada	0.387898	0.914358	1.27765
NorthChina_SouthChina_SouthAmerica	0.340583	0.857684	1.0847
NorthChina_SouthChina_Europe	0.389748	0.824016	1.03929
NorthChina_SouthChina_India	0.491963	1.19149	1.80935
NorthChina_SouthChina_NorthChina	0.384547	0.885841	1.0726
NorthChina_SouthChina_SouthChina	0.387744	0.888807	1.07477
NorthChina_SouthChina_JapanKorea	0.586367	1.18805	1.57612
NorthChina_SouthChina_SoutheastAsia	0.413484	1.25192	1.37481
NorthChina_SouthChina_Oceania	0.393863	0.794634	0.961959
NorthChina_SouthChina_India_SoutheastAsia	0.529021	1.55929	2.62681
NorthChina_SouthChina_India_JapanKorea	0.647114	1.36474	1.85706
NorthChina_SouthChina_India_SoutheastAsia	0.530948	1.55585	2.59359
NorthChina_SouthChina_SoutheastAsia_JapanKorea	0.684388	2.56706	4.43684
NorthChina_SouthChina_India_SoutheastAsia_JapanKorea	0.812486	2.64573	4.35151
NorthChina_SouthChina_India_SoutheastAsia_USACanada	0.553199	1.67823	2.71133
India_SoutheastAsia_JapanKorea	0.603401	1.59949	2.59533
USACanada_SouthAmerica_Europe_JapanKorea	0.480899	0.975521	1.43003
USACanada_SouthAmerica_Europe_JapanKorea_Oceania	0.466	0.989816	1.48392
