	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	0.	0.9400000000000001	2.33	0.1	0.05	0.03	1.73	0.21	0.89
SouthAmerica	0.39	0.	0.5700000000000001	0.31	0.19	0.14	0.15	0.51	0.31
Europe	2.74	2.44	0.	0.07	0.03	1.51	2.2	1.58	0.58
India	1.79	0.09	4.33	0.	0.02	0.6	0.09	1.67	1.06
NorthChina	0.5	0.04	0.1	0.06	0.	4.21	1.16	0.07	0.05
SouthChina	0.45	0.08	0.66	0.46	5.91	0.	0.8	0.71	0.59
JapanKorea	1.04	0.22	1.3800000000000001	0.03	0.65	5.05	0.	2.91	0.5700000000000001
SoutheastAsia	0.46	0.42	0.45	0.92	0.05	1.26	0.62	0.	1.18
Oceania	0.5700000000000001	0.29	0.65	1.19	0.06	0.87	1.59	0.6900000000000001	0.
