statistic	lower	mean	upper
all	0.478068	0.50483	0.540864
Europe	0.147749	0.444695	0.624973
India	0.362571	0.881252	1.26065
JapanKorea	0.144038	0.355692	0.505609
NorthChina	0.160644	0.531247	0.738394
Oceania	0.179514	0.394131	0.528564
SouthAmerica	0.179931	0.576538	0.655572
SouthChina	0.142526	0.501181	0.701857
SoutheastAsia	0.185739	0.567928	0.815531
USACanada	0.20655	0.470038	0.613947
USACanada_SouthAmerica	0.235331	0.694367	0.82685
USACanada_Europe	0.288732	0.65917	0.8416
USACanada_India	0.262912	0.767502	1.06641
USACanada_NorthChina	0.192475	0.506857	0.65216
USACanada_SouthChina	0.188789	0.532913	0.69868
USACanada_JapanKorea	0.205328	0.456008	0.594928
USACanada_SoutheastAsia	0.220151	0.612754	0.826004
USACanada_Oceania	0.222938	0.529741	0.696051
SouthAmerica_Europe	0.196478	0.610603	0.752671
SouthAmerica_India	0.24249	0.728996	1.02858
SouthAmerica_NorthChina	0.167767	0.552658	0.701551
SouthAmerica_SouthChina	0.167008	0.559156	0.715765
SouthAmerica_JapanKorea	0.16152	0.459923	0.567885
SouthAmerica_SoutheastAsia	0.186792	0.585289	0.783934
SouthAmerica_Oceania	0.188382	0.515093	0.608497
Europe_India	0.224097	0.738034	1.06666
Europe_NorthChina	0.155524	0.492531	0.672236
Europe_SouthChina	0.155088	0.497019	0.668895
Europe_JapanKorea	0.16477	0.431947	0.581876
Europe_SoutheastAsia	0.20528	0.599623	0.846016
Europe_Oceania	0.184466	0.503875	0.680321
India_NorthChina	0.218806	0.700059	1.0651
India_SouthChina	0.204786	0.707414	1.02745
India_JapanKorea	0.190375	0.573938	0.779982
India_SoutheastAsia	0.275747	0.843141	1.252
India_Oceania	0.237048	0.617501	0.837313
NorthChina_SouthChina	0.40473	1.27267	1.8871
NorthChina_JapanKorea	0.192188	0.557425	0.750681
NorthChina_SoutheastAsia	0.187628	0.593525	0.853528
NorthChina_Oceania	0.174284	0.468539	0.6032
SouthChina_JapanKorea	0.174407	0.526209	0.696343
SouthChina_SoutheastAsia	0.232581	0.718288	1.05539
SouthChina_Oceania	0.174829	0.479522	0.635219
JapanKorea_SoutheastAsia	0.197656	0.571289	0.783127
JapanKorea_Oceania	0.172525	0.414954	0.546855
SoutheastAsia_Oceania	0.221422	0.5665	0.758523
NorthChina_SouthChina_USACanada	0.325494	1.07632	1.42766
NorthChina_SouthChina_SouthAmerica	0.331568	1.15653	1.61234
NorthChina_SouthChina_Europe	0.291893	1.05161	1.36382
NorthChina_SouthChina_India	0.459257	1.33202	1.93397
NorthChina_SouthChina_NorthChina	0.405676	1.2734	1.8884
NorthChina_SouthChina_SouthChina	0.402469	1.26411	1.87046
NorthChina_SouthChina_JapanKorea	0.39133	1.42938	2.11676
NorthChina_SouthChina_SoutheastAsia	0.514876	1.49876	2.20712
NorthChina_SouthChina_Oceania	0.305059	1.02877	1.34
NorthChina_SouthChina_India_SoutheastAsia	0.678254	1.90412	2.97742
NorthChina_SouthChina_India_JapanKorea	0.439503	1.48064	2.20031
NorthChina_SouthChina_India_SoutheastAsia	0.67966	1.9183	3.00296
NorthChina_SouthChina_SoutheastAsia_JapanKorea	0.649133	2.00751	3.11487
NorthChina_SouthChina_India_SoutheastAsia_JapanKorea	0.866137	2.61293	4.20673
NorthChina_SouthChina_India_SoutheastAsia_USACanada	0.618626	2.11784	3.36744
India_SoutheastAsia_JapanKorea	0.25242	0.785778	1.11817
USACanada_SouthAmerica_Europe_JapanKorea	0.324771	0.874096	1.05155
USACanada_SouthAmerica_Europe_JapanKorea_Oceania	0.353524	1.05105	1.29498
