	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	0.	3.12	7.73	0.89	0.31	1.49	3.68	1.69	2.23
SouthAmerica	3.66	0.	2.33	0.16	0.08	0.42	0.47000000000000003	0.2	1.6300000000000001
Europe	6.48	3.86	0.	0.9500000000000001	0.05	0.93	1.17	3.21	2.
India	1.46	0.31	3.06	0.	0.88	0.67	0.24	4.51	1.7
NorthChina	0.62	0.02	0.36	0.24	0.	12.74	4.5600000000000005	0.75	0.11
SouthChina	0.8300000000000001	0.88	0.58	1.34	12.63	0.	1.29	6.3100000000000005	1.1500000000000001
JapanKorea	1.3	1.12	2.84	0.28	2.61	5.48	0.	1.77	1.04
SoutheastAsia	2.05	0.06	3.18	1.16	0.49	3.34	4.17	0.	3.5300000000000002
Oceania	3.39	0.54	2.95	0.23	0.51	0.6	2.08	1.3800000000000001	0.
