# BEAST v1.7.5
# Generated Thu Feb 13 03:16:18 GMT 2014 [seed=1392261375400]
state	posterior	prior	likelihood	geoSiteModel.mu	nonZeroRateCount	geoRates1	geoRates2	geoRates3	geoRates4	geoRates5	geoRates6	geoRates7	geoRates8	geoRates9	geoRates10	geoRates11	geoRates12	geoRates13	geoRates14	geoRates15	geoRates16	geoRates17	geoRates18	geoRates19	geoRates20	geoRates21	geoRates22	geoRates23	geoRates24	geoRates25	geoRates26	geoRates27	geoRates28	geoRates29	geoRates30	geoRates31	geoRates32	geoRates33	geoRates34	geoRates35	geoRates36	geoRates37	geoRates38	geoRates39	geoRates40	geoRates41	geoRates42	geoRates43	geoRates44	geoRates45	geoRates46	geoRates47	geoRates48	geoRates49	geoRates50	geoRates51	geoRates52	geoRates53	geoRates54	geoRates55	geoRates56	geoRates57	geoRates58	geoRates59	geoRates60	geoRates61	geoRates62	geoRates63	geoRates64	geoRates65	geoRates66	geoRates67	geoRates68	geoRates69	geoRates70	geoRates71	geoRates72	geoIndicators1	geoIndicators2	geoIndicators3	geoIndicators4	geoIndicators5	geoIndicators6	geoIndicators7	geoIndicators8	geoIndicators9	geoIndicators10	geoIndicators11	geoIndicators12	geoIndicators13	geoIndicators14	geoIndicators15	geoIndicators16	geoIndicators17	geoIndicators18	geoIndicators19	geoIndicators20	geoIndicators21	geoIndicators22	geoIndicators23	geoIndicators24	geoIndicators25	geoIndicators26	geoIndicators27	geoIndicators28	geoIndicators29	geoIndicators30	geoIndicators31	geoIndicators32	geoIndicators33	geoIndicators34	geoIndicators35	geoIndicators36	geoIndicators37	geoIndicators38	geoIndicators39	geoIndicators40	geoIndicators41	geoIndicators42	geoIndicators43	geoIndicators44	geoIndicators45	geoIndicators46	geoIndicators47	geoIndicators48	geoIndicators49	geoIndicators50	geoIndicators51	geoIndicators52	geoIndicators53	geoIndicators54	geoIndicators55	geoIndicators56	geoIndicators57	geoIndicators58	geoIndicators59	geoIndicators60	geoIndicators61	geoIndicators62	geoIndicators63	geoIndicators64	geoIndicators65	geoIndicators66	geoIndicators67	geoIndicators68	geoIndicators69	geoIndicators70	geoIndicators71	geoIndicators72
0	-3618.0970629394965	-82.29722457733621	-3535.7998383621602	0.1	72.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10000	-2384.3206623953324	-118.42845338999005	-2265.8922090053425	1.7931803799955262	49.0	2.302341237015311	0.4786531205089393	1.0375114657210505	1.478680631545394	1.3834821374363757	0.9461070103768024	0.9172656479550654	2.4294194270895137	1.1327292727407965	1.0558254299101393	0.321638519935262	0.3549317269578583	2.4665574153213425	0.17746973339902572	0.24017809049257133	1.3954623241449338	0.8811180718348395	0.6781241374709761	0.29855291435048215	2.4540337647882	1.8286815914151158	1.0757600287779037	0.22251516882192296	0.3389538819228522	1.306536008428074	0.9451795078404662	7.8097138855714885	0.7004263412629548	1.499638123557802	1.751179639568974	1.1130816039346751	5.4515801154186345	0.7715610903074411	0.11673540036264816	0.9970008709716879	1.1960560369764406	0.6220924785453215	4.250144882459367	2.4609058139761815	0.36977787504706966	1.3860755764049433	0.09180559651053008	1.4873272669138908	2.2512351225839997	3.2305881888681856	0.8440338472604026	1.6873088949458508	0.9750422520361179	0.3544535292489649	0.5492594059137466	0.7188324170443378	1.9248094277178878	0.5456808977347226	1.4092318575299023	2.6537754552552983	0.6917958385691593	5.964861886850307	0.392327208877066	1.8334037339958023	1.107575075146549	1.5304652162132253	0.26629766582157277	4.2661935006951	2.1550028213123813	1.4853628565677048	0.8276704910247987	1.8748914577889129	2.4264502744786567	0.7642252972444871	3.321608027666832	1.7521944704557824	0.9662160053748239	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
20000	-2406.9605830064065	-120.35252618249343	-2286.608056823913	2.000739052027893	59.0	2.3361033703937615	3.2956481373041706	1.3557197027094428	0.37291828725000775	3.033063891359299	0.9887863105096667	0.11799766005579419	1.1899200472366278	1.2721001331935817	4.867808846730793	0.19874522028393213	1.088112591462675	0.18503299856045985	0.07794500057411265	1.1994049028636173	0.8182581724936281	0.4906802809327664	2.1451025464818225	1.05361634915653	2.1624139342874282	1.5149553631516859	0.7416209597569374	0.2752862400612754	0.8383888317971427	1.251506769212548	2.192735668049385	5.510260582251018	2.235539016710203	0.6177041277544134	0.336988036692458	1.5364574510124853	3.5283845961845794	1.659102025371747	2.254535911635121	0.6800472154059182	1.6252914954427715	0.5941002960196341	4.17567634715869	0.20646200280971294	1.1821616582571541	1.7736769876625504	0.2364098661688468	0.12149412235417047	2.5908452140733993	1.5129325023045184	0.12838698680556596	0.340919597103703	0.6190142345265242	0.8302982760176391	0.10821510743929956	1.6493676212998654	2.068440421586574	0.5832186392142249	0.9361302920412459	2.0032959277119575	0.8130484666333587	3.4272349804546853	0.5241003489646257	0.9554496606616143	1.1032855458479778	0.9563845215336744	0.30089334438363424	4.731435215473234	2.2775361436236716	1.3670160565833849	2.6472686346832477	4.305875097438638	0.6383647555962264	1.487811142241504	3.7452159925456856	1.9553723986721467	1.65348591735134	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
30000	-2398.6952682588535	-114.60283058901084	-2284.0924376698426	2.0209244624976703	59.0	2.6175978433306364	1.8036766812139016	0.42527912131570317	0.9659859439613949	2.141669954542676	2.1513045125614334	0.29873420302240555	2.223767007114589	1.3463647668657983	4.652866223379228	1.2011433947338521	0.7296595718655048	0.08035225983251573	0.3688887818039176	0.37129524011235765	1.0170377435685314	0.16696964672841538	0.3240281966571594	1.161605201265795	1.6923408064335537	1.903832288155385	1.3056175178119787	1.289657068049982	0.704815144579775	0.7418718758367284	1.50148823823272	4.092477219682392	1.7426632310952257	1.145764692920343	1.9056290324728908	2.200720944301762	3.8685286517744264	2.0238938974741343	0.828738280941497	2.1154377446016897	1.9951414693665535	0.7181871551293857	4.676421106290793	1.2763899915497763	2.570173668857578	2.402515687910815	0.009483680437955055	0.12877154020368875	1.268471643714773	2.4244567586022434	0.1565808759496159	0.20178557289921964	0.1352575500934898	1.9229230488433458	0.048266131064771525	0.7246342241974117	1.0603943258772823	0.5796384848003986	2.025174324151889	1.2561912375867768	1.313162799136256	3.9314506608342317	0.8210429646134585	0.28932813142004477	0.16283963162701648	0.4104960660315202	0.5229229990751434	2.883411051456977	2.0497952508695545	0.12246012064349396	2.312727868059232	1.449382265810362	2.1174582852963284	0.358372407930362	3.429096958902234	0.7337646184412785	2.228852507705826	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
40000	-2405.013480484382	-121.73188575391649	-2283.2815947304653	1.9747668292342602	55.0	3.9015402570117548	0.8773225935964294	1.0134871593898342	1.0976313899557057	0.47662991294385143	1.343107003046506	0.6299504359242394	1.468225502114697	1.2956817669910794	0.22791535025448456	4.365259792355625	0.1277662742355681	0.387290303553051	0.19907318816416872	0.46439454320744716	0.9824706705915819	0.5787106066087697	1.1548121270689613	0.4547204046944306	2.411325213328233	2.0445541909647247	0.3868346210564134	2.312350418283078	0.26074641563820083	1.7566782882171534	1.3190217683723793	5.837642327812096	1.332096916155368	2.5342742586296496	0.3466734407085583	1.7759269815296896	1.1669204497048071	0.35526515141785314	0.14430856191935004	3.0368061784961125	0.9397234746671635	0.3100417768080191	7.7800464172318655	0.5584260774705753	2.5961253398341735	0.728755816806096	0.18407982355610744	1.0948447774930845	1.1969403467250856	1.6973777686296116	0.19173734260498512	0.41570684534265473	1.3261418319715386	1.039400959765065	0.06858769517576452	1.1153153386360697	1.519120697477871	5.1975517765099655	0.49874227160120044	1.859266639868325	3.4673535718637294	4.666175789943517	0.584548156455047	0.6389521746270457	0.22662996422823706	0.5302431038127443	1.9509885633031097	6.3061542528789865	2.810726275561865	0.3080660087811531	0.7568174266532481	1.8543765959101874	2.008803717091111	0.5967075060995635	4.0377521752054895	0.5341772223644696	1.7849632493383485	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
50000	-2383.614569366217	-119.9755830551193	-2263.6389863110976	1.9631005737932035	61.0	3.8668887878532905	2.0182145766938984	2.0971590762672054	1.9958773235263703	0.6774907327418782	1.176625890245754	1.4909279720690252	2.537578647256376	0.2867869622899064	0.37963109316932575	2.254474862722815	0.9270959598390676	0.3848487286287323	0.27967227478637074	0.5695943241845769	0.9159610807926127	0.6365292120017472	0.5579307429053024	0.305783638887059	1.1724130506431822	1.4544390517120258	0.6043396257794351	2.63204506565968	0.2643240365206942	0.952229679674054	1.064384531477027	2.5610949749320238	3.1459094908424854	2.280880792412313	0.19778758301225932	0.7978002082806774	1.7785305484340015	0.9390715852040227	0.5533933779854996	0.7359759479627497	1.068850672068028	1.583481936284241	4.588003707584515	0.6432785741570182	1.8817641235488844	1.121185727730414	2.351367618306415	0.9136585743407926	3.1443113995684895	1.0360659336142841	0.4082659925825881	2.073215520691184	0.18490339948934656	0.9800163795389834	0.551198941767808	0.36815430086582207	2.073012693699606	1.500391985745281	0.23856469000067523	1.9997972846290268	2.42174080136753	4.11588186614913	0.21679906974061988	0.7289601291662867	1.260437942252952	1.2453443670826372	0.9175524412989579	5.992309289329896	0.5567249287695124	0.3930669216946227	0.5284491740088771	7.85597033786625	2.0645443004960233	1.8936772784053815	2.94255265996388	1.8537967814106677	0.8464909436020522	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
60000	-2411.808832552603	-124.01361211783154	-2287.795220434771	1.9171876187083703	53.0	1.872969277664607	3.394070212620368	2.461773790560013	0.8154247529616703	0.5473955911388658	2.811918632563076	2.652069013367295	1.1843938458557068	2.0138756944354195	0.30118795914592356	1.8362067710369914	0.31622679239880463	0.039142512449724706	0.31336126296653455	1.312311451813505	1.3467015698543134	0.5875686022517694	0.14832117537205344	2.045089104434527	2.2644274874472887	1.0830906854970297	1.0166641542457657	0.21372042436134417	1.1715206229903175	0.8395604407793825	0.7450299009159876	5.754150639798632	1.642372573613743	1.6706213107700134	0.28425257355492406	1.169114550274243	3.237296145954026	0.9856489517243167	2.62374838985468	0.8880983799645135	1.5740743536463864	1.5556463923281034	3.331942219931169	0.6773502886413999	0.6622695221450866	1.7501808959296703	1.494602254838155	1.6305475194696764	1.472088371668504	1.8334967081208995	0.8198918904989956	0.22361417327779506	1.408765081118022	2.455761288457696	0.28129570260460934	0.23394156383285822	0.46725026228846767	0.2912296133183161	0.2014377927757566	3.317194864838777	1.0347593839308542	3.8901027221312043	0.36739706785396314	0.6499786600185904	4.00507831847659	1.6589331540151353	1.5621172011862594	6.261613461519894	1.1751315967581926	1.7536544631693551	1.6872072282355368	1.9285054383220177	1.7347893568441426	0.6242393112328309	4.248215840452699	1.3237339150644214	2.8329479093186296	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
70000	-2386.480839860411	-116.32811490806613	-2270.1527249523447	2.2814602962857755	59.0	1.6917004229508044	3.9690490464127994	1.0125103439432244	2.239421442785304	1.1406376442727497	2.300830396531815	1.8850047038788433	2.351761226394438	0.6579479291653475	0.18670888916426556	1.4250612330904544	0.14389261974626236	0.024018418565166642	0.7856107172454623	0.48785051565557647	2.071851175963738	0.6086109467826554	0.3949920853677998	1.8048616476899633	4.086921437947543	0.25358981816670617	0.21718854543007243	1.1919412898611819	0.8013258755120387	0.8870070758052638	0.42782995133409624	7.10609975738872	0.8632999308215026	1.8953971561074658	0.1155690998249572	2.495525075007744	1.972077531731289	0.9155678495683731	0.8003491080528556	0.8159563248903315	1.0551728333313901	1.9665896803080516	6.542740523382264	0.6954805187883915	1.5958227038543202	0.7427525154012624	2.101267012991963	0.1857947951317174	1.318701614491875	2.788033393215995	0.8341334791983941	0.15356806056128636	0.3989315470348982	1.3953387282570169	0.28271269132064103	0.16296824854565664	1.0348493420733094	1.281367936866082	0.8966994731528308	1.2441453904803632	1.0048011161866663	3.9963836387983136	0.46518348539895665	0.6563976685232521	0.3153933617144201	1.629819988782067	0.8476826467582655	6.8203890838405945	2.1293990711214352	2.4459755107303036	0.6279636123806401	0.8854556333484043	1.5504640414240536	2.0362177509602426	2.246066286702463	0.20878217217846753	0.7224616885955206	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
80000	-2369.1326228648995	-96.0637704568317	-2273.068852408068	2.007944680547333	56.0	1.9424632025589346	2.638887544581819	0.20592755452533765	0.4188943502492387	0.19839871602940018	1.1451404233319293	0.1889306627528334	0.7333725097048719	1.321645902107189	0.2019508018802607	0.21969348270368202	0.20218906009487037	0.016416651801056153	0.46983462242410534	0.3288018462691478	0.7268101465222829	0.4067763907994723	0.6061540743426292	0.34294603831611375	0.8073896206273108	2.2529122681925267	0.33409031909150416	0.5140923294370754	2.066643571244506	1.1033939824026224	1.011952838490293	4.520945099408137	0.8172499698874778	1.10158097133888	0.23780015271314936	1.9685688244031425	2.251728193356613	1.0543769267441494	2.8298994956086685	0.5355979611969975	1.3685200244930384	0.23370075805726923	3.4419930689131224	0.6990462211968748	0.2360652391208192	1.2633067684543082	0.6895653882455903	0.26517350569186693	1.4747754031972597	2.062095479195551	1.5198730217888383	1.048225191090219	0.4168454432359052	0.9903625313396817	1.3881524713762483	0.399638423537397	1.8760555330929072	0.4361331476614004	0.13913786407090142	1.96942143069626	1.2250227239961393	2.9392625182360805	0.1978038545210848	1.947089994511599	0.45973364839102926	0.6679743342064691	2.497629332303619	4.2188824022324045	2.9623217689054298	4.143190368241748	0.2583102871497722	1.105381127812386	1.196924331278105	0.37337723455593047	2.327860909805348	1.4286664559520843	0.045404265033000504	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
90000	-2372.861224244222	-107.28725415534265	-2265.5739700888794	2.0085278397773223	45.0	2.792220644403472	2.7429913168183413	0.16092930052444906	0.591229744951567	0.46273887605003544	1.157149792432391	0.07022052024656814	1.4100018474011993	1.1643862199711563	0.6576944406637025	0.7494563332909193	0.5218196054433124	0.16984654272889899	0.23984886831210367	0.3983799066528517	1.1183988491314563	0.37040527445382565	1.1216911852895053	1.1801221385787	1.9583104786873586	1.0395757590911998	0.4577624820271116	0.08687977625414188	3.0570575663380097	1.2816516226479062	0.5946209652268128	3.6783162927533333	1.3284926462407378	0.9370342017679673	3.0826096301944728	3.079248592519381	1.9782734087104836	2.127086211450968	2.765098700931875	0.05081801859809397	1.044655500624137	0.39116111421774796	3.543306705543526	0.4954596704753853	0.3988013428290115	2.54657909971889	0.4574635768156721	0.6127256890161527	0.5708343726561127	1.159060467399508	0.1915451501928498	0.4595321228494968	0.18812039718273676	1.8679925947422895	0.7907835579986816	3.32664642277727	2.8716553538363523	0.07968317548258005	0.9598294685780209	2.1382143276726304	0.1832257603044131	5.496480799803584	0.19356822212781552	1.5476939104622067	0.9029362607691224	1.2692189557911353	1.1471438557754676	2.941880607722292	0.792036206123812	2.6399708128132433	0.4696727911360273	5.64666846273409	0.7900415370367668	1.5760638048044981	2.3584630544232845	0.9400424319116485	0.5099763930963528	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
