statistic	lower	mean	upper
all	0.978918	1.06788	1.17209
Europe	0.249875	0.842021	1.32282
India	0.741319	1.87484	2.76151
JapanKorea	0.23761	0.718422	1.19669
NorthChina	0.310376	0.987748	1.51606
Oceania	0.248847	0.612107	0.918735
SouthAmerica	0.578997	1.10887	1.44629
SouthChina	0.221118	0.718869	1.02638
SoutheastAsia	0.375548	0.9586	1.24135
USACanada	0.515613	1.491	2.16635
USACanada_SouthAmerica	0.824038	1.89752	2.5738
USACanada_Europe	0.557761	1.50467	2.18581
USACanada_India	0.707073	2.07473	3.08483
USACanada_NorthChina	0.440657	1.30022	1.91824
USACanada_SouthChina	0.359371	1.17664	1.78091
USACanada_JapanKorea	0.375481	1.27499	1.90067
USACanada_SoutheastAsia	0.491839	1.45337	2.2154
USACanada_Oceania	0.538486	1.55936	2.22429
SouthAmerica_Europe	0.432396	1.07631	1.5014
SouthAmerica_India	0.638866	1.50699	2.08943
SouthAmerica_NorthChina	0.450553	1.06621	1.48702
SouthAmerica_SouthChina	0.313822	0.882985	1.24666
SouthAmerica_JapanKorea	0.33211	0.918483	1.34065
SouthAmerica_SoutheastAsia	0.451059	1.05379	1.41407
SouthAmerica_Oceania	0.401683	0.969845	1.34835
Europe_India	0.473735	1.53639	2.37921
Europe_NorthChina	0.284718	0.935937	1.45647
Europe_SouthChina	0.233457	0.813735	1.16158
Europe_JapanKorea	0.244842	0.786562	1.25907
Europe_SoutheastAsia	0.337474	0.937375	1.3081
Europe_Oceania	0.286539	0.814732	1.23744
India_NorthChina	0.502431	1.81518	3.03911
India_SouthChina	0.340833	1.21237	1.67449
India_JapanKorea	0.362617	1.36007	2.06353
India_SoutheastAsia	0.684084	1.84159	2.64857
India_Oceania	0.476388	1.67384	2.69611
NorthChina_SouthChina	0.910765	1.9428	2.85633
NorthChina_JapanKorea	0.317059	0.953219	1.49201
NorthChina_SoutheastAsia	0.35665	0.983593	1.4236
NorthChina_Oceania	0.284393	0.857152	1.34134
SouthChina_JapanKorea	0.289974	0.806771	1.15083
SouthChina_SoutheastAsia	0.375386	1.0458	1.38127
SouthChina_Oceania	0.249198	0.735027	1.06149
JapanKorea_SoutheastAsia	0.363974	1.0677	1.37018
JapanKorea_Oceania	0.289265	0.860379	1.40247
SoutheastAsia_Oceania	0.367409	1.18161	1.48927
NorthChina_SouthChina_USACanada	0.771839	1.83199	2.44017
NorthChina_SouthChina_SouthAmerica	0.791207	1.70997	2.04531
NorthChina_SouthChina_Europe	0.691396	1.73575	2.24805
NorthChina_SouthChina_India	0.995302	2.52701	4.00568
NorthChina_SouthChina_NorthChina	0.916397	1.92305	2.82887
NorthChina_SouthChina_SouthChina	0.918432	1.94033	2.85864
NorthChina_SouthChina_JapanKorea	0.899793	1.9061	2.12999
NorthChina_SouthChina_SoutheastAsia	0.841054	2.02834	2.64055
NorthChina_SouthChina_Oceania	0.732886	1.77418	2.247
NorthChina_SouthChina_India_SoutheastAsia	1.25745	2.79334	4.24695
NorthChina_SouthChina_India_JapanKorea	1.02494	2.65117	4.12075
NorthChina_SouthChina_India_SoutheastAsia	1.26046	2.78876	4.24763
NorthChina_SouthChina_SoutheastAsia_JapanKorea	0.99343	2.30212	2.84651
NorthChina_SouthChina_India_SoutheastAsia_JapanKorea	1.4841	3.27487	4.46052
NorthChina_SouthChina_India_SoutheastAsia_USACanada	1.4454	3.07754	4.69144
India_SoutheastAsia_JapanKorea	0.547204	1.76266	2.69588
USACanada_SouthAmerica_Europe_JapanKorea	0.572151	1.7644	2.52882
USACanada_SouthAmerica_Europe_JapanKorea_Oceania	0.828948	2.03511	2.95024
