	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	0.	1.94	2.23	0.38	0.01	0.68	0.28	0.44	1.17
SouthAmerica	0.78	0.	0.12	0.13	0.01	0.03	0.02	0.18	0.38
Europe	0.4	1.05	0.	0.41000000000000003	0.04	0.23	0.53	0.14	0.35000000000000003
India	1.1	0.02	0.09	0.	0.17	0.28	0.14	1.25	0.61
NorthChina	0.38	0.1	0.23	0.03	0.	8.3	0.96	0.09	0.08
SouthChina	0.29	0.07	0.28	0.07	4.23	0.	1.68	1.32	0.74
JapanKorea	0.71	0.03	0.08	0.06	1.3	1.1500000000000001	0.	2.5300000000000002	1.37
SoutheastAsia	0.91	0.05	0.36	1.59	0.14	2.14	0.86	0.	0.76
Oceania	3.02	0.18	1.86	0.78	0.28	0.96	2.16	2.41	0.
