statistic	lower	mean	upper
all	0.287787	0.756825	0.989972
Africa	0.275198	0.561778	0.76
CentralAmerica	0.1251	0.390869	0.543447
China	0.272016	1.00351	1.4968
Europe	0.335554	0.590275	0.785127
India	0.624505	1.44404	2.11869
JapanKorea	0.305421	0.579789	0.845187
Oceania	0.241879	0.485817	0.592192
SouthAmerica	0.268444	0.651493	0.94709
SoutheastAsia	0.324707	0.914917	1.21387
USACanada	0.319688	0.722887	1.1017
