statistic	lower	mean	upper
all	0.178313	0.503103	0.656629
Africa	0.201359	0.529931	0.779185
CentralAmerica	0.152221	0.414451	0.588604
China	0.184734	0.669684	0.860736
Europe	0.127792	0.383255	0.544843
India	0.323561	0.770035	1.11682
JapanKorea	0.163532	0.412867	0.554705
Oceania	0.207141	0.399097	0.534876
SouthAmerica	0.195558	0.527677	0.657946
SoutheastAsia	0.159861	0.506189	0.717558
USACanada	0.175446	0.445074	0.629627
