statistic	lower	mean	upper
all	1.05412	1.15737	1.23222
Europe	0.301138	0.872014	1.34545
India	0.781349	1.91536	2.86923
JapanKorea	0.320027	0.855233	1.32156
NorthChina	0.360799	1.12946	1.68576
Oceania	0.296511	0.734323	1.10769
SouthAmerica	0.481903	1.24365	1.80351
SouthChina	0.273208	0.885833	1.21875
SoutheastAsia	0.41357	1.22607	1.68266
USACanada	0.43128	1.38336	2.00033
China	0.85575	2.11126	3.53007
