	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	0.	1.84	2.12	0.36	0.04	0.51	0.42	0.49	1.24
SouthAmerica	1.47	0.	0.26	0.21	0.04	0.08	0.06	0.38	0.33
Europe	1.02	1.58	0.	0.71	0.14	0.48	0.51	0.38	0.72
India	1.02	0.07	0.34	0.	0.13	0.1	0.39	0.96	0.79
NorthChina	0.26	0.18	0.44	0.06	0.	6.46	1.2	0.26	0.09
SouthChina	0.3	0.04	0.33	0.11	2.82	0.	0.8	1.21	0.91
JapanKorea	0.76	0.06	0.19	0.11	1.23	1.1	0.	2.33	1.45
SoutheastAsia	0.49	0.09	0.46	1.05	0.23	2.17	0.32	0.	0.8300000000000001
Oceania	2.42	0.28	2.2800000000000002	0.96	0.41000000000000003	0.43	2.41	1.3900000000000001	0.
