state	posterior	prior	likelihood	treeModel.rootHeight	skyride.precision	CP1+2.kappa	CP3.kappa	CP1+2.frequencies1	CP1+2.frequencies2	CP1+2.frequencies3	CP1+2.frequencies4	CP3.frequencies1	CP3.frequencies2	CP3.frequencies3	CP3.frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	CP1+2.treeLikelihood	CP3.treeLikelihood	skyride
200000	-53608.235225511016	-11619.713232042344	-41988.52199346867	13.902761241600258	0.09367783444659034	5.477706638882192	8.49735279762015	0.3817470909013399	0.20007103603099205	0.20029605934959702	0.21788581371806817	0.34347434179153874	0.22303711085653283	0.16649983407517321	0.2669887132767546	0.35224428562185917	2.0581087804756857	0.7513614846497252	1.4972770307005474	0.006145845358300306	-18760.945703083802	-23227.576290384866	-11605.941007618187
400000	-54277.772371377614	-12351.452073705374	-41926.32029767224	13.935034485873976	0.044316802684097135	5.212879380951492	8.730105315265938	0.39286599668722144	0.19528324177340656	0.19199468928564628	0.21985607225372295	0.36860831934279165	0.2055005617917109	0.1745873658935129	0.2513037529719839	0.3426800288797703	2.1450127013358053	0.7180174799355168	1.5639650401289646	0.005638361427525353	-18759.329541407442	-23166.990756264793	-12338.694586093854
600000	-53783.331173435494	-11912.712691658206	-41870.61848177729	13.828513871657039	0.07214437375868157	5.411956834734608	8.89407898106116	0.3915682483938455	0.1920056170986871	0.193791045633245	0.2226350888742194	0.3466548128428656	0.21255645252669395	0.1713812567893533	0.26940747784108654	0.3317005839066223	1.868162698792975	0.7470000008894069	1.5059999982211838	0.005934169534145251	-18725.987111941766	-23144.631369835522	-11899.673704081779
800000	-54492.985489491824	-12567.34914882145	-41925.636340670375	13.795324025476932	0.03588076601159553	5.561849156204832	8.514420518237294	0.403695792798439	0.16232286445013275	0.20867282782202323	0.22530851492940218	0.35965771395080304	0.20684188801027123	0.18018814738650962	0.2533122506524154	0.3399282486500762	2.091227822631603	0.7333332616874213	1.5333334766251552	0.00578429066860056	-18733.58101534216	-23192.05532532822	-12554.682890761891
1000000	-54364.03843360175	-12438.61724058652	-41925.42119301523	13.814425206530112	0.044436244537486305	5.348681559437224	8.482359016055533	0.4042869314383158	0.1854790448776101	0.20348946239457408	0.20674456128949728	0.3550410910615555	0.21786190944257114	0.16646799914066007	0.2606290003552128	0.33013970736781356	2.1687761200593867	0.7690691114937593	1.461861777012479	0.005682331447095968	-18717.711611290106	-23207.709581725125	-12425.721663665166
1200000	-54180.720724289764	-12242.521884264681	-41938.198840025085	13.712405615022485	0.05158401903660968	5.237161214939154	8.871584706781439	0.37896581408926105	0.1872149882472867	0.20680348328524967	0.22701571437819995	0.35100931769024835	0.2264726498507485	0.17503149066146775	0.2474865417975352	0.299418096239812	2.044721836316996	0.7418048709210834	1.5163902581578315	0.005800100036126327	-18706.0495910552	-23232.149248969883	-12229.683877863763
1400000	-53953.76970052247	-12071.907502406752	-41881.86219811572	13.79332238507975	0.05489794419756553	5.619086849537894	8.748756076312619	0.3932717474660006	0.2038526620590468	0.18456776863231886	0.218307821842631	0.336144441451452	0.21748959363374457	0.16697032861148942	0.27939563630331415	0.3188787431808069	1.8435526508823907	0.7432102054461024	1.5135795891077943	0.00581275640745914	-18691.89775546868	-23189.96444264704	-12059.352116667233
1600000	-54255.16165946417	-12402.509093695826	-41852.65256576834	13.929864652369629	0.045040653062048235	5.326850993499527	9.340173444321143	0.377619318054008	0.18867410356080785	0.20820013420760658	0.22550644417757496	0.3527641144487161	0.22105898910714666	0.18812195974747245	0.23805493669666497	0.323877338401989	1.9841609114390115	0.7303071038450949	1.5393857923098098	0.005719542491292473	-18701.136866976733	-23151.5156987916	-12389.827488261666
1800000	-54211.90655680586	-12311.915740900822	-41899.99081590503	13.853315604549886	0.045746672896406645	5.113454695959562	9.15571454844145	0.38106079225821315	0.1919203531323989	0.20793677465160335	0.21908207995778184	0.35161493664851345	0.21647948106068937	0.16042368588132797	0.2714818964094691	0.31861141956971983	1.946771140067835	0.7139890636349178	1.5720218727301636	0.0056923452802677	-18701.366143091513	-23198.62467281352	-12299.431272329264
2000000	-53863.647367049685	-11960.69069303749	-41902.956674012195	13.819437676684156	0.06678217885334604	5.500241317250483	8.5125260672619	0.3852421363019118	0.19171135629303207	0.1892798724952469	0.23376663490980648	0.34403607518719725	0.21880128166130489	0.18216431461965227	0.25499832853184545	0.3648825737309273	1.5668895200615154	0.761473766342553	1.4770524673148933	0.005647349137861398	-18681.468181070988	-23221.48849294121	-11948.536188737227
2200000	-53781.632876072894	-11892.490613936629	-41889.142262136265	13.979852249292717	0.07281730179130773	5.667071649521089	8.62988464746552	0.38581935366251185	0.19562209395323168	0.1983255766560682	0.2202329757281856	0.349979099706616	0.22755447161419826	0.1653463283161505	0.25712010036303523	0.3188733348785086	2.0280524562268214	0.7584041787092951	1.4831916425814087	0.0058604342970970036	-18730.073057773137	-23159.069204363128	-11879.21920144645
2400000	-54057.87753294197	-12162.050401101373	-41895.827131840604	14.009669354755687	0.04895493708472591	5.865862302990858	9.215728241241589	0.38403102828814617	0.1871063303073044	0.19394928793074717	0.23491335347379969	0.3447965730052913	0.22002291988891137	0.17360393069413707	0.2615765764116604	0.3688188157784127	2.0255921367921266	0.7375649465796822	1.5248701068406347	0.005955310462397288	-18719.530005518478	-23176.297126322122	-12148.911684437495
2600000	-53870.49600703074	-12006.755350971525	-41863.74065605922	13.971614048132464	0.06444596086689215	5.432602106968564	9.739314153624505	0.3772272028357149	0.18467121276033355	0.21054820583086323	0.2275533785730858	0.35775708395417605	0.22149916599462227	0.18040860735678316	0.24033514269441883	0.3570467751393679	2.0336264450463455	0.7218988157817966	1.5562023684364057	0.0058844820421875875	-18690.917863287967	-23172.822792771254	-11993.330387029175
2800000	-53613.428466938334	-11716.137909920257	-41897.290557018074	13.922893667619793	0.09257204123999815	5.110191001031589	9.035359038953567	0.3999696680239252	0.18265217826112465	0.2034871134747563	0.21389104024019145	0.34258176474724333	0.22226703083951543	0.18188242857048154	0.25326877584276003	0.3473338959349839	1.9156668949908595	0.7439198501696226	1.5121602996607535	0.0058737739893596624	-18715.483876927883	-23181.806680090187	-11702.866544320386
3000000	-53815.277901146874	-11910.823446280929	-41904.45445486595	13.88547265764983	0.07344875124238413	5.8055518060260205	8.081534734431301	0.39896279288180303	0.17487422699063795	0.20278660661498388	0.22337637351257275	0.3573839123402611	0.2235980131675135	0.18153897099735342	0.2374791034948725	0.3256860602963443	2.257332082189041	0.7485321729200269	1.5029356541599448	0.00575385898462866	-18737.20949953743	-23167.244955328522	-11897.230424205529
3200000	-54059.969438171305	-12116.357081421333	-41943.612356749974	14.009756018741008	0.0555180007561211	5.477794443192745	8.660215257595839	0.39293971740720957	0.1809321074837901	0.19491845639452318	0.231209718714475	0.33625276381847136	0.21124332065307383	0.19132808872096807	0.26117582680748735	0.3285380555092742	1.8479541981898775	0.7047641236378165	1.5904717527243648	0.005938899538413436	-18740.11068139665	-23203.501675353324	-12103.660954628016
3400000	-54473.251396621556	-12540.425344218465	-41932.82605240309	13.942973662698238	0.03614871152812502	5.519768867164152	8.306603414307784	0.3915485539306558	0.18886947806434823	0.19157846607976206	0.22800350192523164	0.3474759800663524	0.21494021010218864	0.17578976939036312	0.2617940404410965	0.3217303089860201	2.0281291136979642	0.7078861207822269	1.5842277584355444	0.005935286384746516	-18750.52526876666	-23182.300783636434	-12527.899821814093
3600000	-53817.63882401366	-11884.794939355574	-41932.84388465808	14.12566255926912	0.0765289800332587	5.55782275914772	8.982013653985339	0.38612505207232595	0.1906664926471836	0.19716785985136986	0.2260405954291184	0.3557728616828199	0.20799854898196593	0.1775996585013713	0.2586289308338436	0.3352339368428772	2.1465883138012436	0.7769908502436504	1.4460182995126973	0.005849841485600806	-18741.225000889706	-23191.618883768377	-11871.175864924147
3800000	-53735.27355409789	-11820.173445192155	-41915.10010890574	13.943573878402582	0.07689973147841055	5.498131688386691	9.022000309972942	0.3808352085612233	0.19919016312882207	0.21048190929557478	0.2094927190143777	0.3331448777377924	0.2255171202179656	0.17823313323551715	0.26310486880872547	0.30618718812483603	2.225853813105449	0.7398290924106364	1.5203418151787254	0.00586710457118357	-18753.2575510756	-23161.842557830143	-11806.423733231857
4000000	-54023.34781836902	-12103.776281833652	-41919.57153653537	13.96739823134913	0.05504910769247743	5.634514479763438	8.173729125503629	0.38319656782151523	0.1713532281526856	0.20897090325650133	0.23647930076929552	0.3575838238900307	0.2275512762877054	0.17481891478941672	0.24004598503284763	0.2927661331148552	2.177356784650002	0.7331316997290975	1.5337366005418027	0.0059194113799330775	-18758.667796753733	-23160.903739781636	-12090.620001283067
4200000	-53996.16235417605	-12082.381581789234	-41913.78077238682	13.865264012153418	0.05982026601719369	5.21033455376603	8.459919784911076	0.4054037105596725	0.194561727961034	0.18247687590782194	0.21755768557146937	0.3539950704613814	0.21642783464565735	0.18296688321209312	0.24661021168086866	0.30138203030716604	1.8915932910914173	0.7395923836818452	1.520815232636307	0.005503163499133024	-18761.567879138693	-23152.21289324813	-12070.027578744604
