statistic	lower	mean	upper
all	0.907376	1.11801	1.34381
Europe	0.207183	0.808677	1.2083
India	2.01176	3.41951	4.58545
JapanKorea	0.148898	0.40673	0.576703
NorthChina	0.254045	0.741264	1.07738
Oceania	0.133433	0.473379	0.656036
SouthAmerica	0.358246	1.06535	1.61349
SouthChina	0.223996	1.08598	1.71106
SoutheastAsia	0.267131	0.714135	1.01427
USACanada	0.318237	1.17232	1.57607
China	0.838519	1.85759	2.56589
