	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	0.	1.44	2.18	0.25	0.02	0.99	1.59	0.15	1.33
SouthAmerica	3.96	0.	1.16	0.09	0.05	0.68	1.44	0.31	1.29
Europe	0.87	1.29	0.	1.2	0.21	0.46	0.64	1.3	0.4
India	2.13	0.2	1.53	0.	0.07	0.34	0.5	1.8900000000000001	1.05
NorthChina	0.88	0.12	0.46	0.04	0.	7.33	3.04	0.88	0.49
SouthChina	0.31	0.02	0.1	0.02	4.47	0.	0.86	0.67	0.22
JapanKorea	2.07	2.5100000000000002	0.66	0.19	1.17	2.72	0.	2.5100000000000002	2.94
SoutheastAsia	2.38	0.58	0.67	0.36	0.12	2.39	1.98	0.	1.51
Oceania	1.49	2.15	1.6600000000000001	0.42	0.17	1.	2.04	1.41	0.
