virus	strain	age_of_infection
H3	A/TOWNSVILLE/151/2005	0.1
H3	A/TOWNSVILLE/22/2002	0.1
H3	A/TOWNSVILLE/25/2002	0.1
H3	A/TOWNSVILLE/5/2002	0.1
H3	A/TOWNSVILLE/54/2005	0.1
H3	A/VICTORIA/216/2002	0.1
H3	A/VICTORIA/307/2002	0.1
H3	A/VICTORIA/308/2002	0.1
H3	A/VICTORIA/316/2006	0.1
H3	A/VICTORIA/331/2000	0.1
H3	A/VICTORIA/336/2005	0.1
H3	A/VICTORIA/364/2002	0.1
H3	A/VICTORIA/380/2007	0.1
H3	A/VICTORIA/500/2004	0.1
H3	A/VICTORIA/512/2002	0.1
H3	A/VICTORIA/514/2006	0.1
H3	A/VICTORIA/519/2007	0.1
H3	A/VICTORIA/519/2007	0.1
H3	A/VICTORIA/539/2002	0.1
H3	A/VICTORIA/545/2007	0.1
H3	A/VICTORIA/560/2005	0.1
H3	A/VICTORIA/562/2007	0.1
H3	A/VICTORIA/572/2003	0.1
H3	A/VICTORIA/804/2007	0.1
H3	A/VICTORIA/804/2007	0.1
H3	A/BRISBANE/129/2002	0.11
H3	A/BRISBANE/13/2008	0.11
H3	A/BRISBANE/16/2003	0.11
H3	A/BRISBANE/163/2002	0.11
H3	A/BRISBANE/166/2002	0.11
H3	A/BRISBANE/166/2003	0.11
H3	A/BRISBANE/169/2004	0.11
H3	A/BRISBANE/182/2003	0.11
H3	A/BRISBANE/2/2008	0.11
H3	A/BRISBANE/203/2003	0.11
H3	A/BRISBANE/207/2002	0.11
H3	A/BRISBANE/25/2002	0.11
H3	A/BRISBANE/26/2007	0.11
H3	A/BRISBANE/274/2002	0.11
H3	A/BRISBANE/28/2002	0.11
H3	A/BRISBANE/280/2003	0.11
H3	A/BRISBANE/284/2002	0.11
H3	A/BRISBANE/285/2002	0.11
H3	A/BRISBANE/290/2002	0.11
H3	A/BRISBANE/292/2002	0.11
H3	A/BRISBANE/299/2003	0.11
H3	A/BRISBANE/312/2010	0.11
H3	A/BRISBANE/59/2002	0.11
H3	A/BRISBANE/74/2007	0.11
H3	A/BRISBANE/80/2007	0.11
H3	A/BRISBANE/93/2002	0.11
H3	A/PERTH/225/2000	0.11
H3	A/PERTH/239/2002	0.11
H3	A/SOUTHAUSTRALIA/149/2002	0.11
H3	A/SOUTHAUSTRALIA/54/2002	0.11
H3	A/SOUTHAUSTRALIA/63/2002	0.11
H3	A/SOUTHAUSTRALIA/79/2002	0.11
H3	A/SOUTHAUSTRALIA/86/2002	0.11
H3	A/SYDNEY/16/2003	0.11
H3	A/SYDNEY/24/2009	0.11
H3	A/SYDNEY/286/2002	0.11
H3	A/SYDNEY/49/2003	0.11
H3	A/SYDNEY/531/2007	0.11
H3	A/VICTORIA/334/2006	0.11
H3	A/PERTH/232/2000	0.14
H3	A/PERTH/394/2002	0.14
H3	A/BRISBANE/68/2005	0.15
H3	A/TOWNSVILLE/6/2002	0.17
H3	A/PERTH/189/2009	0.18
H3	A/PERTH/286/2009	0.18
H3	A/TOWNSVILLE/5/2003	0.18
H3	A/PERTH/371/2002	0.19
H3	A/PERTH/387/2002	0.19
H3	A/BRISBANE/10/2005	0.2
H3	A/BRISBANE/131/2003	0.2
H3	A/BRISBANE/154/2003	0.2
H3	A/BRISBANE/19/2003	0.2
H3	A/BRISBANE/20/2007	0.2
H3	A/BRISBANE/213/2003	0.2
H3	A/BRISBANE/22/2003	0.2
H3	A/BRISBANE/227/2002	0.2
H3	A/BRISBANE/23/2003	0.2
H3	A/BRISBANE/237/2003	0.2
H3	A/BRISBANE/238/2006	0.2
H3	A/BRISBANE/241/2005	0.2
H3	A/BRISBANE/244/2006	0.2
H3	A/BRISBANE/263/2006	0.2
H3	A/BRISBANE/304/2002	0.2
H3	A/BRISBANE/38/2005	0.2
H3	A/BRISBANE/39/2002	0.2
H3	A/BRISBANE/45/2003	0.2
H3	A/BRISBANE/47/2005	0.2
H3	A/BRISBANE/51/2000	0.2
H3	A/BRISBANE/57/2003	0.2
H3	A/BRISBANE/79/2003	0.2
H3	A/BRISBANE/85/2005	0.2
H3	A/BRISBANE/85/2005	0.2
H3	A/BRISBANE/86/2005	0.2
H3	A/BRISBANE/87/2003	0.2
H3	A/BRISBANE/98/2002	0.2
H3	A/PERTH/25/2007	0.2
H3	A/PERTH/286/2003	0.2
H3	A/SOUTHAUSTRALIA/104/2005	0.2
H3	A/SOUTHAUSTRALIA/12/2005	0.2
H3	A/SOUTHAUSTRALIA/121/2003	0.2
H3	A/SOUTHAUSTRALIA/133/2003	0.2
H3	A/SOUTHAUSTRALIA/136/2003	0.2
H3	A/SOUTHAUSTRALIA/153/2005	0.2
H3	A/SOUTHAUSTRALIA/29/2005	0.2
H3	A/SOUTHAUSTRALIA/45/2005	0.2
H3	A/SOUTHAUSTRALIA/47/2008	0.2
H3	A/SOUTHAUSTRALIA/85/2001	0.2
H3	A/SYDNEY/1/2001	0.2
H3	A/SYDNEY/2/2000	0.2
H3	A/SYDNEY/2/2000	0.2
H3	A/SYDNEY/202/2002	0.2
H3	A/SYDNEY/30/2004	0.2
H3	A/SYDNEY/36/2004	0.2
H3	A/SYDNEY/42/2006	0.2
H3	A/SYDNEY/619/2009	0.2
H3	A/TOWNSVILLE/30/2002	0.2
H3	A/TOWNSVILLE/96/2010	0.2
H3	A/VICTORIA/314/2002	0.2
H3	A/VICTORIA/317/2006	0.2
H3	A/VICTORIA/318/2006	0.2
H3	A/VICTORIA/328/2002	0.2
H3	A/VICTORIA/501/2004	0.2
H3	A/VICTORIA/507/2006	0.2
H3	A/VICTORIA/516/2005	0.2
H3	A/VICTORIA/552/2007	0.2
H3	A/VICTORIA/561/2003	0.2
H3	A/VICTORIA/567/2003	0.2
H3	A/VICTORIA/576/2007	0.2
H3	A/VICTORIA/593/2003	0.2
H3	A/DARWIN/30/2011	0.21
H3	A/PERTH/386/2002	0.21
H3	A/VICTORIA/516/2007	0.22
H3	A/BRISBANE/121/2004	0.25
H3	A/BRISBANE/143/2003	0.25
H3	A/BRISBANE/153/2006	0.25
H3	A/BRISBANE/177/2006	0.25
H3	A/BRISBANE/185/2006	0.25
H3	A/BRISBANE/246/2006	0.25
H3	A/BRISBANE/37/2002	0.25
H3	A/BRISBANE/83/2005	0.25
H3	A/BRISBANE/86/2003	0.25
H3	A/PERTH/258/2000	0.25
H3	A/SYDNEY/11/2004	0.25
H3	A/SYDNEY/216/2002	0.25
H3	A/SYDNEY/263/2007	0.25
H3	A/SYDNEY/4/2004	0.25
H3	A/VICTORIA/199/2002	0.25
H3	A/VICTORIA/506/2006	0.25
H3	A/VICTORIA/510/2004	0.25
H3	A/VICTORIA/560/2002	0.25
H3	A/VICTORIA/574/2003	0.25
H3	A/BRISBANE/123/2005	0.3
H3	A/BRISBANE/138/2002	0.3
H3	A/BRISBANE/14/2003	0.3
H3	A/BRISBANE/180/2002	0.3
H3	A/BRISBANE/202/2006	0.3
H3	A/BRISBANE/215/2003	0.3
H3	A/BRISBANE/23/2004	0.3
H3	A/BRISBANE/248/2007	0.3
H3	A/BRISBANE/253/2002	0.3
H3	A/BRISBANE/26/2002	0.3
H3	A/BRISBANE/26/2004	0.3
H3	A/BRISBANE/270/2002	0.3
H3	A/BRISBANE/289/2002	0.3
H3	A/BRISBANE/296/2007	0.3
H3	A/BRISBANE/302/2010	0.3
H3	A/BRISBANE/31/2003	0.3
H3	A/BRISBANE/323/2002	0.3
H3	A/BRISBANE/323/2003	0.3
H3	A/BRISBANE/325/2003	0.3
H3	A/BRISBANE/326/2002	0.3
H3	A/BRISBANE/42/2003	0.3
H3	A/BRISBANE/44/2003	0.3
H3	A/BRISBANE/48/2005	0.3
H3	A/BRISBANE/53/2003	0.3
H3	A/BRISBANE/62/2002	0.3
H3	A/BRISBANE/69/2006	0.3
H3	A/BRISBANE/7/2004	0.3
H3	A/PERTH/215/2005	0.3
H3	A/PERTH/224/2005	0.3
H3	A/PERTH/233/2000	0.3
H3	A/PERTH/405/2009	0.3
H3	A/SOUTHAUSTRALIA/103/2002	0.3
H3	A/SOUTHAUSTRALIA/136/2002	0.3
H3	A/SOUTHAUSTRALIA/31/2004	0.3
H3	A/SYDNEY/2/2002	0.3
H3	A/SYDNEY/203/2004	0.3
H3	A/SYDNEY/235/2002	0.3
H3	A/SYDNEY/251/2002	0.3
H3	A/SYDNEY/287/2002	0.3
H3	A/SYDNEY/38/2003	0.3
H3	A/SYDNEY/40/2010	0.3
H3	A/TASMANIA/2/2005	0.3
H3	A/TOWNSVILLE/36/2005	0.3
H3	A/TOWNSVILLE/4/2003	0.3
H3	A/TOWNSVILLE/61/2011	0.3
H3	A/TOWNSVILLE/9/2002	0.3
H3	A/VICTORIA/305/2002	0.3
H3	A/VICTORIA/310/2006	0.3
H3	A/VICTORIA/326/2002	0.3
H3	A/VICTORIA/380/2002	0.3
H3	A/VICTORIA/510/2000	0.3
H3	A/VICTORIA/519/2000	0.3
H3	A/VICTORIA/594/2003	0.3
H3	A/VICTORIA/802/2007	0.3
H3	A/VICTORIA/814/2007	0.3
H3	A/VICTORIA/815/2007	0.3
H3	A/PERTH/370/2002	0.31
H3	A/BRISBANE/24/2000	0.33
H3	A/PERTH/368/2002	0.33
H3	A/TOWNSVILLE/15/2003	0.33
H3	A/TOWNSVILLE/20/2001	0.33
H3	A/VICTORIA/575/2003	0.33
H3	A/BRISBANE/1/2007	0.4
H3	A/BRISBANE/102/2005	0.4
H3	A/BRISBANE/13/2002	0.4
H3	A/BRISBANE/183/2002	0.4
H3	A/BRISBANE/220/2003	0.4
H3	A/BRISBANE/246/2002	0.4
H3	A/BRISBANE/251/2002	0.4
H3	A/BRISBANE/265/2007	0.4
H3	A/BRISBANE/3/2004	0.4
H3	A/BRISBANE/316/2010	0.4
H3	A/BRISBANE/32/2006	0.4
H3	A/BRISBANE/41/2005	0.4
H3	A/BRISBANE/41/2005	0.4
H3	A/BRISBANE/73/2006	0.4
H3	A/BRISBANE/75/2006	0.4
H3	A/BRISBANE/77/2006	0.4
H3	A/BRISBANE/82/2002	0.4
H3	A/CANBERRA/22/2009	0.4
H3	A/DARWIN/5/2011	0.4
H3	A/PERTH/210/2002	0.4
H3	A/PERTH/216/2002	0.4
H3	A/PERTH/237/2005	0.4
H3	A/PERTH/238/2005	0.4
H3	A/PERTH/244/2000	0.4
H3	A/PERTH/273/2003	0.4
H3	A/PERTH/369/2002	0.4
H3	A/SOUTHAUSTRALIA/108/2003	0.4
H3	A/SOUTHAUSTRALIA/114/2003	0.4
H3	A/SOUTHAUSTRALIA/141/2003	0.4
H3	A/SOUTHAUSTRALIA/144/2002	0.4
H3	A/SOUTHAUSTRALIA/16/2005	0.4
H3	A/SOUTHAUSTRALIA/36/2005	0.4
H3	A/SOUTHAUSTRALIA/58/2003	0.4
H3	A/SYDNEY/2/2001	0.4
H3	A/SYDNEY/272/2002	0.4
H3	A/SYDNEY/293/2002	0.4
H3	A/SYDNEY/31/2004	0.4
H3	A/SYDNEY/48/2003	0.4
H3	A/TOWNSVILLE/14/2002	0.4
H3	A/VICTORIA/306/2003	0.4
H3	A/VICTORIA/307/2005	0.4
H3	A/VICTORIA/323/2006	0.4
H3	A/VICTORIA/401/2002	0.4
H3	A/VICTORIA/532/2002	0.4
H3	A/VICTORIA/822/2007	0.4
H3	A/VICTORIA/824/2007	0.4
H3	A/VICTORIA/866/2007	0.4
H3	A/BRISBANE/101/2006	0.5
H3	A/BRISBANE/103/2002	0.5
H3	A/BRISBANE/110/2006	0.5
H3	A/BRISBANE/124/2003	0.5
H3	A/BRISBANE/131/2002	0.5
H3	A/BRISBANE/134/2011	0.5
H3	A/BRISBANE/156/2003	0.5
H3	A/BRISBANE/16/2004	0.5
H3	A/BRISBANE/167/2001	0.5
H3	A/BRISBANE/17/2006	0.5
H3	A/BRISBANE/173/2005	0.5
H3	A/BRISBANE/190/2003	0.5
H3	A/BRISBANE/195/2003	0.5
H3	A/BRISBANE/197/2003	0.5
H3	A/BRISBANE/22/2004	0.5
H3	A/BRISBANE/220/2006	0.5
H3	A/BRISBANE/238/2007	0.5
H3	A/BRISBANE/240/2006	0.5
H3	A/BRISBANE/261/2006	0.5
H3	A/BRISBANE/27/2002	0.5
H3	A/BRISBANE/271/2003	0.5
H3	A/BRISBANE/280/2007	0.5
H3	A/BRISBANE/281/2006	0.5
H3	A/BRISBANE/30/2007	0.5
H3	A/BRISBANE/303/2007	0.5
H3	A/BRISBANE/33/2005	0.5
H3	A/BRISBANE/34/2005	0.5
H3	A/BRISBANE/38/2002	0.5
H3	A/BRISBANE/43/2004	0.5
H3	A/BRISBANE/55/2010	0.5
H3	A/BRISBANE/59/2006	0.5
H3	A/BRISBANE/66/2002	0.5
H3	A/BRISBANE/76/2005	0.5
H3	A/BRISBANE/89/2003	0.5
H3	A/DARWIN/49/2011	0.5
H3	A/PERTH/181/2009	0.5
H3	A/PERTH/218/2000	0.5
H3	A/PERTH/224/2006	0.5
H3	A/PERTH/255/2003	0.5
H3	A/PERTH/259/2001	0.5
H3	A/PERTH/265/2008	0.5
H3	A/PERTH/384/2002	0.5
H3	A/SOUTHAUSTRALIA/105/2003	0.5
H3	A/SOUTHAUSTRALIA/128/2002	0.5
H3	A/SOUTHAUSTRALIA/13/2004	0.5
H3	A/SOUTHAUSTRALIA/131/2002	0.5
H3	A/SOUTHAUSTRALIA/145/2003	0.5
H3	A/SOUTHAUSTRALIA/17/2004	0.5
H3	A/SOUTHAUSTRALIA/4/2007	0.5
H3	A/SOUTHAUSTRALIA/53/2001	0.5
H3	A/SOUTHAUSTRALIA/8/2004	0.5
H3	A/SYDNEY/14/2002	0.5
H3	A/SYDNEY/208/2002	0.5
H3	A/SYDNEY/217/2002	0.5
H3	A/SYDNEY/222/2002	0.5
H3	A/SYDNEY/222/2002	0.5
H3	A/SYDNEY/227/2002	0.5
H3	A/SYDNEY/229/2002	0.5
H3	A/SYDNEY/245/2002	0.5
H3	A/SYDNEY/292/2002	0.5
H3	A/SYDNEY/3/2007	0.5
H3	A/SYDNEY/42/2005	0.5
H3	A/SYDNEY/45/2006	0.5
H3	A/SYDNEY/54/2003	0.5
H3	A/SYDNEY/7/2004	0.5
H3	A/SYDNEY/76/2006	0.5
H3	A/SYDNEY/86/2006	0.5
H3	A/TOWNSVILLE/06/2003	0.5
H3	A/TOWNSVILLE/107/2010	0.5
H3	A/TOWNSVILLE/11/2011	0.5
H3	A/TOWNSVILLE/117/2005	0.5
H3	A/TOWNSVILLE/12/2011	0.5
H3	A/TOWNSVILLE/24/2003	0.5
H3	A/TOWNSVILLE/26/2002	0.5
H3	A/VICTORIA/302/2001	0.5
H3	A/VICTORIA/312/2005	0.5
H3	A/VICTORIA/341/2000	0.5
H3	A/VICTORIA/342/2000	0.5
H3	A/VICTORIA/351/2000	0.5
H3	A/VICTORIA/508/2001	0.5
H3	A/VICTORIA/509/2003	0.5
H3	A/VICTORIA/526/2006	0.5
H3	A/VICTORIA/530/2002	0.5
H3	A/VICTORIA/531/2002	0.5
H3	A/VICTORIA/544/2007	0.5
H3	A/VICTORIA/596/2003	0.5
H3	A/VICTORIA/833/2007	0.5
H3	A/VICTORIA/820/2007	0.58
H3	A/VICTORIA/826/2007	0.58
H3	A/BRISBANE/100/2002	0.6
H3	A/BRISBANE/177/2003	0.6
H3	A/BRISBANE/20/2002	0.6
H3	A/BRISBANE/207/2006	0.6
H3	A/BRISBANE/23/2006	0.6
H3	A/BRISBANE/238/2003	0.6
H3	A/BRISBANE/25/2004	0.6
H3	A/BRISBANE/254/2003	0.6
H3	A/BRISBANE/267/2006	0.6
H3	A/BRISBANE/27/2003	0.6
H3	A/BRISBANE/295/2002	0.6
H3	A/BRISBANE/314/2002	0.6
H3	A/BRISBANE/319/2003	0.6
H3	A/BRISBANE/32/2002	0.6
H3	A/BRISBANE/339/2003	0.6
H3	A/BRISBANE/71/2002	0.6
H3	A/BRISBANE/80/2002	0.6
H3	A/CANBERRA/2029/2009	0.6
H3	A/DARWIN/66/2011	0.6
H3	A/PERTH/201/2008	0.6
H3	A/PERTH/213/2005	0.6
H3	A/PERTH/407/2009	0.6
H3	A/PERTH/82/2009	0.6
H3	A/SOUTHAUSTRALIA/125/2002	0.6
H3	A/SOUTHAUSTRALIA/139/2003	0.6
H3	A/SOUTHAUSTRALIA/15/2004	0.6
H3	A/SOUTHAUSTRALIA/150/2003	0.6
H3	A/SOUTHAUSTRALIA/23/2004	0.6
H3	A/SOUTHAUSTRALIA/24/2004	0.6
H3	A/SOUTHAUSTRALIA/25/2004	0.6
H3	A/SOUTHAUSTRALIA/28/2004	0.6
H3	A/SOUTHAUSTRALIA/49/2002	0.6
H3	A/SOUTHAUSTRALIA/86/2003	0.6
H3	A/SYDNEY/309/2002	0.6
H3	A/SYDNEY/32/2004	0.6
H3	A/SYDNEY/74/2003	0.6
H3	A/TOWNSVILLE/3/2002	0.6
H3	A/TOWNSVILLE/93/2010	0.6
H3	A/VICTORIA/324/2006	0.6
H3	A/VICTORIA/332/2000	0.6
H3	A/VICTORIA/333/2002	0.6
H3	A/VICTORIA/335/2006	0.6
H3	A/VICTORIA/340/2006	0.6
H3	A/VICTORIA/400/2002	0.6
H3	A/VICTORIA/428/2002	0.6
H3	A/VICTORIA/540/2002	0.6
H3	A/BRISBANE/100/2006	0.66
H3	A/BRISBANE/94/2006	0.66
H3	A/SYDNEY/51/2008	0.66
H3	A/BRISBANE/121/2002	0.7
H3	A/BRISBANE/128/2002	0.7
H3	A/BRISBANE/136/2002	0.7
H3	A/BRISBANE/168/2003	0.7
H3	A/BRISBANE/248/2003	0.7
H3	A/BRISBANE/25/2003	0.7
H3	A/BRISBANE/266/2006	0.7
H3	A/BRISBANE/284/2006	0.7
H3	A/BRISBANE/297/2007	0.7
H3	A/BRISBANE/299/2002	0.7
H3	A/BRISBANE/303/2002	0.7
H3	A/BRISBANE/49/2003	0.7
H3	A/BRISBANE/49/2005	0.7
H3	A/BRISBANE/58/2003	0.7
H3	A/DARWIN/15/2011	0.7
H3	A/PERTH/216/2005	0.7
H3	A/PERTH/376/2002	0.7
H3	A/PERTH/379/2002	0.7
H3	A/PERTH/552/2010	0.7
H3	A/SOUTHAUSTRALIA/114/2005	0.7
H3	A/SOUTHAUSTRALIA/126/2002	0.7
H3	A/SOUTHAUSTRALIA/127/2003	0.7
H3	A/SOUTHAUSTRALIA/22/2003	0.7
H3	A/SOUTHAUSTRALIA/25/2003	0.7
H3	A/SOUTHAUSTRALIA/43/2002	0.7
H3	A/SOUTHAUSTRALIA/43/2003	0.7
H3	A/SOUTHAUSTRALIA/48/2003	0.7
H3	A/SOUTHAUSTRALIA/54/2003	0.7
H3	A/SOUTHAUSTRALIA/56/2002	0.7
H3	A/SOUTHAUSTRALIA/57/2003	0.7
H3	A/SYDNEY/13/2003	0.7
H3	A/SYDNEY/20/2003	0.7
H3	A/SYDNEY/206/2002	0.7
H3	A/SYDNEY/213/2007	0.7
H3	A/SYDNEY/283/2002	0.7
H3	A/SYDNEY/295/2002	0.7
H3	A/SYDNEY/43/2003	0.7
H3	A/SYDNEY/44/2003	0.7
H3	A/SYDNEY/45/2003	0.7
H3	A/SYDNEY/7/2002	0.7
H3	A/TOWNSVILLE/2/2002	0.7
H3	A/TOWNSVILLE/93/2010	0.7
H3	A/VICTORIA/215/2002	0.7
H3	A/VICTORIA/307/2006	0.7
H3	A/VICTORIA/331/2002	0.7
H3	A/VICTORIA/347/2005	0.7
H3	A/VICTORIA/506/2001	0.7
H3	A/VICTORIA/521/2003	0.7
H3	A/BRISBANE/104/2003	0.75
H3	A/BRISBANE/115/2003	0.75
H3	A/BRISBANE/132/2003	0.75
H3	A/BRISBANE/137/2006	0.75
H3	A/BRISBANE/153/2003	0.75
H3	A/BRISBANE/171/2006	0.75
H3	A/BRISBANE/19/2004	0.75
H3	A/BRISBANE/208/2006	0.75
H3	A/BRISBANE/232/2006	0.75
H3	A/BRISBANE/247/2006	0.75
H3	A/BRISBANE/291/2007	0.75
H3	A/BRISBANE/49/2002	0.75
H3	A/BRISBANE/5/2006	0.75
H3	A/BRISBANE/55/2004	0.75
H3	A/BRISBANE/63/2005	0.75
