virus	strain	age_of_infection
H3	A/TOWNSVILLE/2/2009	0
H3	A/VICTORIA/149/2006	0
H3	A/PERTH/16/2011	0.003
H3	A/SOUTHAUSTRALIA/28/2007	0.009
H3	A/SOUTHAUSTRALIA/43/2007	0.009
H3	A/BRISBANE/114/2007	0.01
H3	A/BRISBANE/269/2003	0.01
H3	A/BRISBANE/305/2002	0.01
H3	A/BRISBANE/75/2007	0.01
H3	A/SOUTHAUSTRALIA/283/2007	0.01
H3	A/SOUTHAUSTRALIA/342/2007	0.01
H3	A/SOUTHAUSTRALIA/445/2007	0.01
H3	A/VICTORIA/337/2002	0.01
H3	A/BRISBANE/115/2002	0.02
H3	A/BRISBANE/164/2007	0.02
H3	A/BRISBANE/195/2007	0.02
H3	A/BRISBANE/85/2007	0.02
H3	A/PERTH/37/2011	0.02
H3	A/SOUTHAUSTRALIA/1/2007	0.02
H3	A/SOUTHAUSTRALIA/280/2007	0.02
H3	A/SOUTHAUSTRALIA/299/2007	0.02
H3	A/SOUTHAUSTRALIA/305/2007	0.02
H3	A/SOUTHAUSTRALIA/361/2007	0.02
H3	A/SOUTHAUSTRALIA/61/2008	0.02
H3	A/SYDNEY/110/2007	0.02
H3	A/SYDNEY/115/2007	0.02
H3	A/BRISBANE/121/2005	0.03
H3	A/BRISBANE/131/2007	0.03
H3	A/BRISBANE/162/2007	0.03
H3	A/BRISBANE/224/2007	0.03
H3	A/SOUTHAUSTRALIA/14/2007	0.03
H3	A/SOUTHAUSTRALIA/278/2007	0.03
H3	A/SOUTHAUSTRALIA/29/2007	0.03
H3	A/SOUTHAUSTRALIA/350/2007	0.03
H3	A/SOUTHAUSTRALIA/372/2007	0.03
H3	A/SYDNEY/552/2007	0.03
H3	A/SYDNEY/85/2006	0.03
H3	A/VICTORIA/519/2008	0.03
H3	A/BRISBANE/43/2008	0.04
H3	A/PERTH/272/2008	0.04
H3	A/SOUTHAUSTRALIA/303/2007	0.04
H3	A/SOUTHAUSTRALIA/31/2007	0.04
H3	A/SOUTHAUSTRALIA/347/2007	0.04
H3	A/SOUTHAUSTRALIA/354/2007	0.04
H3	A/SOUTHAUSTRALIA/366/2007	0.04
H3	A/SYDNEY/100/2007	0.04
H3	A/SYDNEY/546/2007	0.04
H3	A/BRISBANE/117/2007	0.05
H3	A/BRISBANE/121/2007	0.05
H3	A/SOUTHAUSTRALIA/287/2007	0.05
H3	A/SOUTHAUSTRALIA/300/2007	0.05
H3	A/SOUTHAUSTRALIA/352/2007	0.05
H3	A/SOUTHAUSTRALIA/58/2008	0.05
H3	A/SYDNEY/505/2007	0.05
H3	A/SYDNEY/549/2007	0.05
H3	A/SYDNEY/556/2007	0.05
H3	A/BRISBANE/11/2008	0.06
H3	A/BRISBANE/32/2008	0.06
H3	A/BRISBANE/51/2008	0.06
H3	A/SOUTHAUSTRALIA/329/2007	0.06
H3	A/SOUTHAUSTRALIA/348/2007	0.06
H3	A/SOUTHAUSTRALIA/39/2007	0.06
H3	A/SYDNEY/129/2007	0.06
H3	A/SYDNEY/28/2007	0.06
H3	A/BRISBANE/48/2008	0.07
H3	A/SOUTHAUSTRALIA/290/2007	0.07
H3	A/SOUTHAUSTRALIA/327/2007	0.07
H3	A/SOUTHAUSTRALIA/367/2007	0.07
H3	A/SOUTHAUSTRALIA/38/2007	0.07
H3	A/SOUTHAUSTRALIA/451/2007	0.07
H3	A/SOUTHAUSTRALIA/7/2007	0.07
H3	A/SYDNEY/504/2007	0.07
H3	A/SYDNEY/511/2007	0.07
H3	A/SYDNEY/521/2007	0.07
H3	A/SYDNEY/528/2007	0.07
H3	A/SYDNEY/562/2007	0.07
H3	A/BRISBANE/109/2007	0.08
H3	A/PERTH/240/2008	0.08
H3	A/PERTH/269/2000	0.08
H3	A/SOUTHAUSTRALIA/15/2007	0.08
H3	A/SOUTHAUSTRALIA/35/2008	0.08
H3	A/SOUTHAUSTRALIA/389/2007	0.08
H3	A/SYDNEY/128/2007	0.08
H3	A/SYDNEY/32/2007	0.08
H3	A/BRISBANE/142/2007	0.09
H3	A/BRISBANE/320/2007	0.09
H3	A/BRISBANE/33/2008	0.09
H3	A/BRISBANE/98/2007	0.09
H3	A/PERTH/213/2008	0.09
H3	A/SOUTHAUSTRALIA/43/2008	0.09
H3	A/SOUTHAUSTRALIA/51/2008	0.09
H3	A/SYDNEY/44/2007	0.09
H3	A/SYDNEY/513/2007	0.09
H3	A/SYDNEY/537/2007	0.09
H3	A/SYDNEY/541/2007	0.09
H3	A/SYDNEY/557/2007	0.09
H3	A/SYDNEY/91/2007	0.09
H3	A/BRISBANE/1/2005	0.1
H3	A/BRISBANE/106/2005	0.1
H3	A/BRISBANE/107/2005	0.1
H3	A/BRISBANE/11/2006	0.1
H3	A/BRISBANE/118/2003	0.1
H3	A/BRISBANE/120/2006	0.1
H3	A/BRISBANE/122/2004	0.1
H3	A/BRISBANE/123/2003	0.1
H3	A/BRISBANE/125/2004	0.1
H3	A/BRISBANE/128/2003	0.1
H3	A/BRISBANE/133/2006	0.1
H3	A/BRISBANE/146/2006	0.1
H3	A/BRISBANE/15/2003	0.1
H3	A/BRISBANE/150/2003	0.1
H3	A/BRISBANE/152/2001	0.1
H3	A/BRISBANE/153/2004	0.1
H3	A/BRISBANE/16/2007	0.1
H3	A/BRISBANE/172/2005	0.1
H3	A/BRISBANE/172/2006	0.1
H3	A/BRISBANE/18/2003	0.1
H3	A/BRISBANE/185/2002	0.1
H3	A/BRISBANE/188/2002	0.1
H3	A/BRISBANE/196/2003	0.1
H3	A/BRISBANE/199/2002	0.1
H3	A/BRISBANE/213/2005	0.1
H3	A/BRISBANE/216/2005	0.1
H3	A/BRISBANE/218/2003	0.1
H3	A/BRISBANE/231/2002	0.1
H3	A/BRISBANE/241/2003	0.1
H3	A/BRISBANE/242/2005	0.1
H3	A/BRISBANE/256/2007	0.1
H3	A/BRISBANE/263/2010	0.1
H3	A/BRISBANE/276/2002	0.1
H3	A/BRISBANE/321/2003	0.1
H3	A/BRISBANE/46/2002	0.1
H3	A/BRISBANE/50/2005	0.1
H3	A/BRISBANE/57/2004	0.1
H3	A/BRISBANE/58/2002	0.1
H3	A/BRISBANE/58/2004	0.1
H3	A/BRISBANE/8/2003	0.1
H3	A/BRISBANE/92/2006	0.1
H3	A/BRISBANE/99/2002	0.1
H3	A/PERTH/202/2002	0.1
H3	A/PERTH/205/2002	0.1
H3	A/PERTH/205/2005	0.1
H3	A/PERTH/212/2002	0.1
H3	A/PERTH/214/2002	0.1
H3	A/PERTH/215/2002	0.1
H3	A/PERTH/228/2002	0.1
H3	A/PERTH/232/2002	0.1
H3	A/PERTH/241/2003	0.1
H3	A/PERTH/243/2000	0.1
H3	A/PERTH/244/2002	0.1
H3	A/PERTH/247/2000	0.1
H3	A/SOUTHAUSTRALIA/124/2002	0.1
H3	A/SOUTHAUSTRALIA/124/2005	0.1
H3	A/SOUTHAUSTRALIA/30/2002	0.1
H3	A/SOUTHAUSTRALIA/40/2001	0.1
H3	A/SOUTHAUSTRALIA/42/2007	0.1
H3	A/SOUTHAUSTRALIA/64/2005	0.1
H3	A/SOUTHAUSTRALIA/70/2005	0.1
H3	A/SOUTHAUSTRALIA/71/2005	0.1
H3	A/SYDNEY/102/2007	0.1
H3	A/SYDNEY/107/2007	0.1
H3	A/SYDNEY/18/2003	0.1
H3	A/SYDNEY/219/2002	0.1
H3	A/SYDNEY/224/2007	0.1
H3	A/SYDNEY/236/2002	0.1
H3	A/SYDNEY/45/2005	0.1
H3	A/TOWNSVILLE/108/2005	0.1
