1.48	0.32	0.08	0.02	0.08	0.27	0.39	0.20	0.18	0.07	0.19	0.07	0.10	0.03	0.06
0.72	1.77	0.24	0.12	0.01	0.15	0.23	0.46	0.21	0.07	0.19	0.11	0.14	0.09	0.18
0.22	0.41	2.45	0.40	0.07	0.12	0.14	0.51	0.60	0.32	0.13	0.05	0.06	0.14	0.23
0.24	0.30	0.59	3.01	0.66	0.17	0.07	0.36	0.78	0.91	0.21	0.12	0.10	0.09	0.34
0.52	0.22	0.16	0.95	1.74	0.96	0.26	0.14	0.36	0.29	0.26	0.25	0.15	0.11	0.18
0.49	0.36	0.19	0.24	0.66	1.11	0.53	0.20	0.21	0.36	0.40	0.26	0.20	0.14	0.13
0.88	0.55	0.25	0.10	0.28	0.77	0.84	0.49	0.33	0.35	0.34	0.34	0.15	0.20	0.25
0.74	0.58	0.50	0.40	0.26	0.29	0.84	1.10	0.67	0.39	0.36	0.39	0.17	0.23	0.29
0.36	0.52	0.78	0.43	0.30	0.28	0.53	0.67	0.92	0.63	0.39	0.41	0.27	0.42	0.33
0.34	0.29	0.29	0.41	0.42	0.36	0.16	0.29	0.67	0.85	0.54	0.42	0.26	0.20	0.25
0.36	0.17	0.25	0.22	0.30	0.27	0.42	0.17	0.32	0.56	0.86	0.51	0.25	0.30	0.24
0.26	0.22	0.12	0.21	0.18	0.27	0.25	0.17	0.14	0.24	0.46	0.78	0.56	0.22	0.19
0.21	0.21	0.16	0.04	0.06	0.24	0.28	0.26	0.20	0.10	0.30	0.34	0.63	0.59	0.18
0.16	0.16	0.15	0.07	0.06	0.07	0.14	0.19	0.16	0.11	0.10	0.13	0.35	0.66	0.35
0.33	0.49	0.22	0.10	0.13	0.12	0.21	0.17	0.30	0.18	0.18	0.18	0.26	1.16	0.49
