1.49	0.59	0.25	0.18	0.42	0.61	0.57	0.74	0.18	0.20	0.36	0.15	0.18	0.26	0.07
0.74	3.82	0.53	0.44	0.37	0.42	0.68	0.99	0.66	0.15	0.17	0.19	0.41	0.30	0.07
0.36	0.73	3.19	0.79	0.17	0.14	0.32	0.51	0.69	0.27	0.20	0.19	0.17	0.26	0.17
0.26	0.22	0.52	3.10	0.85	0.12	0.17	0.29	0.48	0.51	0.27	0.13	0.09	0.26	0.37
0.39	0.19	0.09	0.38	1.32	0.49	0.28	0.16	0.23	0.44	0.20	0.28	0.11	0.15	0.00
0.53	0.37	0.11	0.20	0.58	0.64	0.35	0.21	0.23	0.25	0.30	0.30	0.20	0.04	0.03
0.77	0.72	0.29	0.17	0.31	0.42	0.80	0.21	0.27	0.38	0.23	0.20	0.23	0.15	0.07
0.73	0.65	0.61	0.35	0.20	0.24	0.47	0.76	0.47	0.29	0.18	0.11	0.32	0.04	0.03
0.38	0.59	0.58	0.47	0.27	0.29	0.25	0.49	0.45	0.40	0.12	0.19	0.23	0.15	0.30
0.22	0.23	0.22	0.34	0.46	0.29	0.17	0.17	0.35	0.58	0.15	0.19	0.14	0.11	0.20
0.26	0.21	0.14	0.17	0.22	0.17	0.15	0.14	0.19	0.27	0.33	0.35	0.20	0.04	0.07
0.22	0.12	0.10	0.10	0.14	0.22	0.13	0.21	0.05	0.25	0.17	0.52	0.32	0.44	0.10
0.22	0.15	0.10	0.10	0.10	0.14	0.15	0.20	0.19	0.13	0.09	0.24	0.27	0.30	0.13
0.05	0.08	0.07	0.08	0.07	0.12	0.08	0.16	0.11	0.04	0.05	0.07	0.17	0.37	0.43
0.09	0.09	0.10	0.08	0.19	0.10	0.05	0.13	0.24	0.29	0.23	0.22	0.11	0.22	0.70
