1.41	0.78	0.29	0.17	0.12	0.53	0.65	0.40	0.17	0.19	0.14	0.08	0.31	0.05	0.12
0.81	2.30	0.71	0.22	0.00	0.30	0.23	0.60	0.32	0.23	0.10	0.07	0.18	0.05	0.00
0.25	0.93	3.68	0.67	0.16	0.02	0.28	0.48	0.62	0.31	0.03	0.07	0.03	0.08	0.00
0.16	0.15	0.51	1.59	0.33	0.18	0.03	0.02	0.25	0.38	0.10	0.05	0.03	0.06	0.04
0.11	0.14	0.08	0.30	1.03	0.54	0.20	0.06	0.08	0.19	0.10	0.05	0.02	0.03	0.00
0.47	0.23	0.10	0.16	0.47	0.93	0.22	0.23	0.13	0.05	0.20	0.15	0.16	0.06	0.08
0.68	0.53	0.19	0.10	0.10	0.49	0.68	0.37	0.27	0.22	0.10	0.23	0.18	0.08	0.00
0.56	0.63	0.42	0.15	0.07	0.12	0.40	0.58	0.20	0.16	0.14	0.13	0.08	0.06	0.15
0.36	0.66	0.70	0.24	0.05	0.14	0.15	0.24	0.75	0.30	0.24	0.17	0.27	0.14	0.12
0.26	0.29	0.44	0.41	0.09	0.09	0.20	0.21	0.47	0.45	0.32	0.22	0.08	0.11	0.08
0.22	0.21	0.22	0.16	0.24	0.26	0.18	0.18	0.32	0.39	0.42	0.43	0.19	0.11	0.15
0.15	0.13	0.06	0.08	0.07	0.05	0.15	0.10	0.07	0.11	0.27	0.48	0.42	0.14	0.12
0.34	0.19	0.04	0.06	0.00	0.09	0.22	0.03	0.07	0.06	0.08	0.18	0.73	0.23	0.19
0.16	0.14	0.05	0.02	0.00	0.02	0.03	0.05	0.08	0.03	0.08	0.07	0.27	0.31	0.50
0.07	0.11	0.12	0.07	0.03	0.00	0.07	0.08	0.20	0.09	0.17	0.05	0.31	0.31	1.15
