1.56	0.94	0.22	0.13	0.33	0.57	0.88	0.69	2.71	0.00	0.00	0.23	0.28	0.12	0.20
2.41	6.35	0.88	0.19	0.00	0.43	0.13	1.08	1.00	0.64	0.31	0.08	0.17	0.24	0.22
0.32	0.59	6.22	1.31	0.00	0.00	0.13	0.23	0.43	0.71	0.08	0.15	0.22	0.06	0.17
0.12	0.24	0.47	5.25	0.25	0.14	0.25	0.08	0.43	0.57	0.15	0.23	0.11	0.00	0.05
0.12	0.12	0.09	0.63	0.92	0.36	0.13	0.08	0.57	0.43	0.46	0.15	0.06	0.00	0.07
0.15	0.29	0.06	0.19	0.83	1.21	0.75	0.00	0.29	0.71	0.31	0.00	0.17	0.06	0.10
0.97	0.47	0.13	0.19	1.92	0.64	1.13	0.38	0.43	0.43	0.23	0.23	0.44	0.06	0.17
1.00	1.18	0.50	0.25	1.25	0.29	1.25	1.00	0.29	0.57	0.15	0.08	0.39	0.24	0.41
0.35	1.12	1.06	0.31	0.50	0.07	0.50	0.54	1.00	1.57	0.23	0.23	0.39	0.29	0.27
0.21	0.24	0.59	0.75	0.42	0.14	0.25	0.23	0.71	0.71	0.38	0.08	0.11	0.12	0.76
0.41	0.24	0.28	0.63	0.58	0.57	0.13	0.08	0.43	0.43	0.77	0.85	0.33	0.18	0.27
0.26	0.12	0.16	0.19	0.00	0.14	0.25	0.08	0.00	0.14	0.38	0.92	0.56	0.53	0.22
0.29	0.41	0.03	0.00	0.00	0.00	0.00	0.08	0.14	0.21	0.15	0.23	0.89	0.71	0.20
0.24	0.24	0.13	0.00	0.00	0.00	0.13	0.23	0.14	0.00	0.08	0.23	0.17	0.53	0.22
0.09	0.12	0.47	0.50	0.25	0.14	0.00	0.23	0.00	0.43	0.46	0.08	0.28	0.59	0.83
