	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	0.	0.9400000000000001	2.36	0.09	0.11	0.07	2.47	0.21	0.9500000000000001
SouthAmerica	0.36	0.	0.73	0.15	0.09	0.1	0.13	0.4	0.22
Europe	3.	2.24	0.	0.07	0.07	1.35	2.18	0.78	0.34
India	2.14	0.14	3.4	0.	0.05	0.44	0.08	1.86	0.8300000000000001
NorthChina	0.17	0.05	0.31	0.11	0.	4.89	0.72	0.11	0.12
SouthChina	1.03	0.19	1.33	0.59	3.9	0.	1.6600000000000001	0.89	1.12
JapanKorea	0.91	0.46	1.05	0.04	0.56	3.64	0.	3.3000000000000003	0.67
SoutheastAsia	0.3	0.33	0.34	0.64	0.04	1.41	0.46	0.	1.6600000000000001
Oceania	1.3	0.5700000000000001	0.78	2.43	0.1	2.08	0.97	0.5	0.
