statistic	lower	mean	upper
all	0.490234	0.526015	0.56222
Europe	0.139342	0.436486	0.61101
India	0.281507	0.71084	1.01685
JapanKorea	0.147321	0.350723	0.49156
NorthChina	0.199564	0.725739	1.11296
Oceania	0.192112	0.389238	0.522175
SouthAmerica	0.210136	0.669874	0.753275
SouthChina	0.127776	0.447222	0.621972
SoutheastAsia	0.198112	0.599724	0.878051
USACanada	0.186348	0.457654	0.605109
China	0.369066	1.18986	1.79552
