	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	0.	4.69	3.92	1.25	0.9400000000000001	0.9	2.75	0.32	2.5100000000000002
SouthAmerica	1.03	0.	1.92	0.34	0.16	0.43	0.19	0.21	0.73
Europe	7.88	2.74	0.	1.21	0.25	1.49	0.85	2.58	2.23
India	1.24	0.4	2.57	0.	1.11	0.19	0.48	1.77	1.95
NorthChina	0.24	0.13	0.19	0.31	0.	9.120000000000001	2.2600000000000002	1.7	0.16
SouthChina	2.6	0.71	0.49	1.6400000000000001	7.76	0.	2.4	4.76	2.56
JapanKorea	0.6900000000000001	0.9500000000000001	3.43	0.8200000000000001	2.82	4.23	0.	1.25	1.3900000000000001
SoutheastAsia	0.29	0.24	1.22	1.47	0.11	2.73	5.28	0.	1.28
Oceania	2.65	0.58	6.94	0.28	0.19	0.52	2.09	1.84	0.
