statistic	lower	mean	upper
all	0.439694	1.27762	1.75012
Africa	0.41853	0.792161	1.07696
CentralAmerica	0.282371	0.825966	1.31184
China	0.673226	1.8055	2.86758
Europe	0.243065	0.743618	1.14015
India	0.783842	1.98289	3.03318
JapanKorea	0.389519	0.929018	1.3891
Oceania	0.303119	0.731688	1.05152
SouthAmerica	0.475884	1.2918	1.91448
SoutheastAsia	0.461295	1.32571	1.67776
USACanada	0.493853	1.25799	1.86328
