statistic	lower	mean	upper
all	0.865605	1.02961	1.20865
Europe	0.18978	0.776018	1.14202
India	1.19569	2.88272	4.26848
JapanKorea	0.145239	0.398634	0.579246
NorthChina	0.261582	0.7327	1.07397
Oceania	0.131559	0.442323	0.602621
SouthAmerica	0.312178	1.01584	1.53666
SouthChina	0.214907	1.0821	1.7933
SoutheastAsia	0.256971	0.689001	0.979907
USACanada	0.371968	1.14643	1.58739
USACanada_SouthAmerica	0.55812	1.57607	2.35245
USACanada_Europe	0.382757	1.30548	1.85758
USACanada_India	0.660089	2.53402	4.48752
USACanada_NorthChina	0.338975	1.01497	1.39044
USACanada_SouthChina	0.321139	1.20387	1.77999
USACanada_JapanKorea	0.317407	1.06515	1.48014
USACanada_SoutheastAsia	0.372899	1.10482	1.52306
USACanada_Oceania	0.328973	1.08222	1.48717
SouthAmerica_Europe	0.282602	0.996334	1.43853
SouthAmerica_India	0.428989	1.85952	3.36961
SouthAmerica_NorthChina	0.283196	0.880287	1.21706
SouthAmerica_SouthChina	0.26185	1.09126	1.74202
SouthAmerica_JapanKorea	0.254138	1.03285	1.77496
SouthAmerica_SoutheastAsia	0.296803	0.88994	1.22982
SouthAmerica_Oceania	0.245959	1.03394	1.30729
Europe_India	0.474349	2.08908	4.02523
Europe_NorthChina	0.236963	0.770128	1.11184
Europe_SouthChina	0.209604	1.03884	1.70495
Europe_JapanKorea	0.170138	0.596801	0.783144
Europe_SoutheastAsia	0.239327	0.808067	1.14499
Europe_Oceania	0.168664	0.661389	0.927919
India_NorthChina	0.387698	1.69446	3.13804
India_SouthChina	0.305663	1.79127	2.82055
India_JapanKorea	0.248952	1.59378	3.37148
India_SoutheastAsia	0.544626	2.08981	3.88663
India_Oceania	0.320561	2.13015	4.31789
NorthChina_SouthChina	1.02683	1.86771	2.4705
NorthChina_JapanKorea	0.244463	0.763679	1.02364
NorthChina_SoutheastAsia	0.271714	0.749493	1.07429
NorthChina_Oceania	0.203234	0.635463	0.938492
SouthChina_JapanKorea	0.206968	0.90106	1.33492
SouthChina_SoutheastAsia	0.269284	1.04982	1.64687
SouthChina_Oceania	0.190923	0.933202	1.51978
JapanKorea_SoutheastAsia	0.208855	0.696642	0.865849
JapanKorea_Oceania	0.169041	0.502428	0.718287
SoutheastAsia_Oceania	0.207581	0.653578	0.925965
NorthChina_SouthChina_USACanada	0.648982	1.6644	2.43386
NorthChina_SouthChina_SouthAmerica	0.592659	1.651	2.37892
NorthChina_SouthChina_Europe	0.59233	1.695	2.41492
NorthChina_SouthChina_India	1.12071	2.42625	3.48788
NorthChina_SouthChina_NorthChina	1.0294	1.84555	2.48115
NorthChina_SouthChina_SouthChina	1.02724	1.85269	2.47605
NorthChina_SouthChina_JapanKorea	0.574163	1.873	2.69701
NorthChina_SouthChina_SoutheastAsia	0.75438	1.73186	2.42868
NorthChina_SouthChina_Oceania	0.520919	1.61737	2.35065
NorthChina_SouthChina_India_SoutheastAsia	0.99824	2.37719	3.51894
NorthChina_SouthChina_India_JapanKorea	0.744728	2.48973	3.77437
NorthChina_SouthChina_India_SoutheastAsia	0.994948	2.3677	3.51129
NorthChina_SouthChina_SoutheastAsia_JapanKorea	0.657484	1.9301	2.80037
NorthChina_SouthChina_India_SoutheastAsia_JapanKorea	0.964688	2.60684	3.8778
NorthChina_SouthChina_India_SoutheastAsia_USACanada	1.01857	2.97865	4.67072
India_SoutheastAsia_JapanKorea	0.323034	1.647	2.87666
USACanada_SouthAmerica_Europe_JapanKorea	0.61702	1.90523	2.88182
USACanada_SouthAmerica_Europe_JapanKorea_Oceania	0.723742	2.66946	4.195
