	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	0.	1.52	2.13	0.53	0.01	0.79	2.13	0.22	1.1500000000000001
SouthAmerica	4.61	0.	0.87	0.08	0.04	0.76	1.09	0.21	0.99
Europe	0.97	1.05	0.	1.21	0.28	0.5700000000000001	0.59	1.58	0.32
India	2.25	0.24	1.3800000000000001	0.	0.07	0.25	0.79	1.92	1.1300000000000001
NorthChina	0.96	0.05	0.34	0.03	0.	8.24	3.29	0.61	0.38
SouthChina	0.32	0.02	0.1	0.02	4.96	0.	0.6	0.76	0.21
JapanKorea	2.11	3.84	0.78	0.28	1.24	2.42	0.	2.24	3.0300000000000002
SoutheastAsia	2.38	0.43	0.64	0.42	0.13	2.49	2.46	0.	1.6500000000000001
Oceania	2.2600000000000002	1.44	1.6300000000000001	0.47000000000000003	0.17	1.04	2.88	1.35	0.
