region	USACanada	SouthAmerica	Europe	India	NorthChina	SouthChina	JapanKorea	SoutheastAsia	Oceania
USACanada	9.3517124958e8	7.13693184e6	3.5799305349999994e7	238832.	1.26676375e6	3.2422549e6	7.18470165e6	428899.15	1.5288087e6
SouthAmerica	7.13693184e6	1.1559951416e8	5.634780609999999e6	0	0	0	0	4715.	97280.5
Europe	3.579930535e7	5.63478061e6	6.2536454876e8	4.311468699999999e6	2.7361473e6	2.32244675e6	4.39518462e6	6.9731186e6	0
India	238832.	0	4.3114687e6	4.0989630879999995e7	142788.85	350260.14999999997	199742.5	4.20453926e6	60341.3
NorthChina	1.26676375e6	0	2.7361473000000003e6	142788.84999999998	5.771992286e7	4.033255164e7	9.443269360000001e6	3.02237982e6	282146.01
SouthChina	3.2422549e6	0	2.32244675e6	350260.14999999997	4.033255164e7	7.17569399e7	8.851412690000001e6	1.379957672e7	1.7146835e6
JapanKorea	7.18470165e6	0	4.39518462e6	199742.5	9.44326936e6	8.851412690000001e6	1.5651586657999998e8	9.66026183e6	1.84059883e6
SoutheastAsia	428899.15	4715.	6.9731186e6	4.20453926e6	3.0223798200000003e6	1.379957672e7	9.66026183e6	1.1526092196e8	6.250298949999999e6
Oceania	1.5288087e6	97280.5	0	60341.3	282146.01	1.7146835e6	1.84059883e6	6.250298949999999e6	6.230488096e7
