# BEAST v1.8.1 Prerelease r6376, r6376
# Generated Wed Aug 13 17:26:59 PDT 2014 [seed=1407976014803]
state	posterior	prior	likelihood	geoSiteModel.mu	nonZeroRateCount	geoRates1	geoRates2	geoRates3	geoRates4	geoRates5	geoRates6	geoRates7	geoRates8	geoRates9	geoRates10	geoRates11	geoRates12	geoRates13	geoRates14	geoRates15	geoRates16	geoRates17	geoRates18	geoRates19	geoRates20	geoRates21	geoRates22	geoRates23	geoRates24	geoRates25	geoRates26	geoRates27	geoRates28	geoRates29	geoRates30	geoRates31	geoRates32	geoRates33	geoRates34	geoRates35	geoRates36	geoRates37	geoRates38	geoRates39	geoRates40	geoRates41	geoRates42	geoRates43	geoRates44	geoRates45	geoRates46	geoRates47	geoRates48	geoRates49	geoRates50	geoRates51	geoRates52	geoRates53	geoRates54	geoRates55	geoRates56	geoRates57	geoRates58	geoRates59	geoRates60	geoRates61	geoRates62	geoRates63	geoRates64	geoRates65	geoRates66	geoRates67	geoRates68	geoRates69	geoRates70	geoRates71	geoRates72	geoIndicators1	geoIndicators2	geoIndicators3	geoIndicators4	geoIndicators5	geoIndicators6	geoIndicators7	geoIndicators8	geoIndicators9	geoIndicators10	geoIndicators11	geoIndicators12	geoIndicators13	geoIndicators14	geoIndicators15	geoIndicators16	geoIndicators17	geoIndicators18	geoIndicators19	geoIndicators20	geoIndicators21	geoIndicators22	geoIndicators23	geoIndicators24	geoIndicators25	geoIndicators26	geoIndicators27	geoIndicators28	geoIndicators29	geoIndicators30	geoIndicators31	geoIndicators32	geoIndicators33	geoIndicators34	geoIndicators35	geoIndicators36	geoIndicators37	geoIndicators38	geoIndicators39	geoIndicators40	geoIndicators41	geoIndicators42	geoIndicators43	geoIndicators44	geoIndicators45	geoIndicators46	geoIndicators47	geoIndicators48	geoIndicators49	geoIndicators50	geoIndicators51	geoIndicators52	geoIndicators53	geoIndicators54	geoIndicators55	geoIndicators56	geoIndicators57	geoIndicators58	geoIndicators59	geoIndicators60	geoIndicators61	geoIndicators62	geoIndicators63	geoIndicators64	geoIndicators65	geoIndicators66	geoIndicators67	geoIndicators68	geoIndicators69	geoIndicators70	geoIndicators71	geoIndicators72
0	-8692.08551747677	-82.45667602649795	-8609.62884145027	0.1	72.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10000	-5839.943260916726	-185.37695580423772	-5654.566305112488	1.7920229347337375	55.0	2.3558104615824442	8.696133097965628	1.1453369205086632	0.9752903944581567	1.0712943620706834	1.995988424566639	1.7492521362531372	3.2016245135388908	1.33640139314585	0.9505550902032843	2.794305099241023	0.62286551325207	0.8467495330481155	3.833149480242446	1.2169150057037308	1.5234561158335094	1.205385425659898	1.1940505722569057	1.5637101735302918	4.233919713443004	1.7154821224132517	2.0629339782263316	3.4228507429792434	0.5763832478056646	4.092929033314204	2.0784259712535262	12.222984571172097	5.024094879700852	1.8447560828896985	0.8468294791381786	0.7238177123450105	4.979069170370597	1.3726600238032969	0.6046912081010541	3.6026518195389223	2.1557614417463555	4.072744395285928	3.785859461032672	1.6018725154999671	1.8238908974458652	0.6464901306322871	0.7821127471729619	1.366958149534381	2.9041039187684983	2.866545196604012	0.374264806536732	3.853904309280509	1.609132468280351	0.506868743034673	1.4018542358237116	0.6723019987177296	4.227863910612588	1.2647304309772889	0.6444419533611703	1.414072171998664	2.8416039538021467	3.534196721520259	1.450802429064989	2.0209224888773822	1.402322442276997	0.9318987050406513	1.4720324706289387	11.328874436182044	3.931458072113123	0.9584176914965641	0.41379893854147887	5.271187383817209	1.9822643304177627	2.1865597099294773	4.1300770268336215	4.382159011566617	1.3000985038141917	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
20000	-5942.884653399171	-195.49707515698069	-5747.38757824219	1.7058062034914654	57.0	2.7023850996996543	6.567832288156868	0.5198133997678738	0.5060807635391738	0.9051274825435739	3.778057134995816	2.31501785003823	1.8340173072606798	1.3727279947526023	2.2381972747760526	8.882991096123646	1.1162981029256986	1.8950646570405247	4.486306967939665	1.2915313195436549	0.9206041231306616	1.508973401204832	1.5777047880603292	0.9355786528106759	4.183049424989526	2.712236552752935	0.4937571937217389	1.0521135357118778	0.874486962606226	2.951407982215364	1.8077569033976733	10.300340409733051	3.944147221606691	0.3877769328383265	0.1789878901678897	1.5640546882907285	7.5019373674123155	1.9620890300608647	2.1405805222424172	1.6535958216849276	2.579856284424946	3.3616865138988996	9.4948685051003	1.981235236109423	2.596204520777866	1.3570059074682304	1.38225746767155	0.7892585873579733	2.5781108000892816	4.284735276736232	0.5416644665990469	1.1870455105865363	0.7535210234880334	1.3508273009322544	4.831840176679367	1.4673714276196874	4.771523579064314	2.2175444034433864	1.0940641684645287	2.1285958462814305	3.6408854500191765	2.8468955795220916	0.2659813476680782	0.6853728206894688	0.6063116593492497	1.4382425911360373	0.8797681488016345	10.453916293167921	1.3603054367724239	1.7529430940591346	0.31221034985135127	3.8095314211436406	4.011283528147815	2.5612326815764814	4.5657058390009855	4.689825906524446	1.4801346232396357	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
30000	-5862.169404834202	-188.29385655991095	-5673.875548274292	1.775264234598133	58.0	1.7190408826113888	6.402185002367871	0.4050104468385417	0.44052505020482224	0.7179283277486195	4.249060766126079	3.6818702182068614	1.1246379128602337	2.3432459564038632	2.4631654659815823	0.9409035870440774	0.10834026670930608	0.6240082833140365	1.2502912115091003	1.1287131621922533	1.1833437071931203	8.230115689682982	2.3670824756520403	1.4611766869446965	3.932479028971157	2.6845662339024527	0.38831740043125385	2.360767288527911	3.7813736519297456	4.873576893058866	1.6647834089734033	10.790729829313456	3.1519689918599276	1.0807732152211138	0.21525729805522748	2.104716514826945	4.978155222800264	1.0301035519257173	1.2901554529646884	0.7466361854907336	3.9718728267407357	1.6922380699582011	6.28403939524229	3.2280123409225348	0.5568744409687917	2.7501613012920623	2.3892482807366253	1.944083168799581	2.5585586682783386	2.633260436250963	0.9239188556300975	1.0830605990226636	0.7427831622658364	2.387696495241166	3.089707116756079	2.0449101602309367	1.423355462961414	1.8409606690461233	1.8448104599218778	2.850308401498587	2.4783843693584418	4.045903630434383	0.3898115320226696	0.5502550301934389	2.5460632304262543	2.015120635526918	2.3236620961174035	9.915201730947079	3.647381365261146	0.5656341988262829	2.1823864366538754	4.303717844703652	3.0538741376167327	1.9804596327608224	2.9458613299580203	1.7352323006799903	0.950270025637687	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
40000	-5930.195110220357	-183.72583245160922	-5746.469277768748	1.8240419124232246	51.0	2.066911203449507	7.045132136130011	1.386635863020067	0.09826846356158189	2.833045633006613	2.3353765006409026	2.875636994597479	1.5700954564726213	2.597789600803136	1.4398787082723283	5.060371879873498	0.08053636120349526	1.2781298336282154	1.6441745820396418	1.628509543304304	1.049665197773936	3.271601593448501	2.6299392907830135	1.1652819387628481	1.855174065547298	2.6958199864557897	0.31666436026978784	1.7430122028610033	0.7650692705106102	3.158950857220335	0.9269723774923985	6.6770034232095785	3.360883239535291	2.2035808745566303	1.6769303911810962	2.1920493320717918	3.6096819294128593	1.4589967706622928	2.390221577771726	0.9057227195683242	3.950409154778274	1.2834657155150282	9.360726852213359	1.954980449209764	1.2187201683459943	3.6312805101254644	3.143619945405834	1.8884287379798077	2.2009000107678998	2.6777293429570554	1.0380708635870404	3.5145820080511365	0.6034963794512284	0.909342805083899	2.4896692509299214	3.643950655109033	1.4875988992793536	2.598221731622226	1.0508229567590694	2.4524849557425425	4.295925136526509	3.198145532730672	1.2594217570482535	1.0243852851712376	2.633446242462025	2.0167001567951237	0.9133447644780177	9.694509910366582	1.4254605127000235	1.7505884673851078	0.6208041021796654	3.9994616082498093	2.7752134491096827	2.2808821563008146	3.8793286765019896	1.647588916359754	1.468430290233053	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
50000	-5911.472225220586	-210.2376331772217	-5701.234592043364	1.718316184959366	55.0	5.081981094207196	7.549560371369619	0.9635871328466917	0.17548634287937553	1.452531577859171	2.5730831175243707	2.1066207630633715	1.4480229745764874	2.834447155801218	3.7543295156332035	1.8640414347487289	0.09223537586880619	1.5522704141286947	1.1355935567789164	1.2787873248934605	0.874445262983216	3.6186392780466603	9.870669550208095	1.7496663546827218	4.251509359007362	1.9736286021794207	0.3502062201608423	1.3020206052423704	0.44638765694361865	4.642731936194312	2.0389693747325754	11.928291579396541	3.9415007701858484	0.5127222983120545	5.113605687011183	1.2701187587592866	6.3607679349753266	1.7160107950684604	5.7218022625776355	0.9137090581759709	4.134449627824138	3.8698205272739172	4.780612765216717	1.888433667558912	2.6458701907374547	2.299501863970849	2.0960158324638054	0.9328048099065253	3.7760582401322	3.39270891294334	0.27154340714173897	2.090221587823592	1.4391828544133076	0.5720915513028336	2.0653744039499937	0.47535749302601255	2.575465075756237	7.537806840176883	0.572783612795733	2.4055757269937934	2.8005121519091873	3.469610902895415	0.5168668486307302	2.895002546476051	2.0600326716338264	1.963458644680291	0.8458571111594085	11.854891893659659	2.8707599260219703	0.9612284828679566	0.8255897609332273	4.471772803460243	3.994077157707471	1.1429620279055321	2.9082738501592402	1.1653529640659126	3.1036755579874624	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
60000	-5838.409985905102	-209.0857354178711	-5629.3242504872305	1.802222919130033	58.0	2.2788915962658365	8.841104452717596	0.7993569340595014	0.05197362937749119	2.9529558520741133	4.646046004373182	2.272584226567899	1.6642408618383155	2.5181082506955494	2.5989603748039194	1.4343486713667526	0.4449329914234724	1.2249536933805572	2.5490815692478725	1.7523284808536796	1.5591325962887836	1.6841021158754097	1.4676285417755732	0.6915949366628302	4.42445156954893	2.8294702312905864	1.8446029244727915	0.8440347282751944	1.2723784467004853	4.0451466818690145	1.9333260483618253	12.050582315449757	6.287170259889566	1.5006455641734808	3.998537648013374	0.5032134394251622	5.768363718315197	0.9861926955962449	2.4616093240401526	3.945335358408173	2.8587654526576407	1.7896585755637173	7.46913710195888	1.5631847116445843	0.8345557704448703	2.4320006288386224	2.6951365611866067	2.7162979229946473	2.3072086287747187	5.804369759575102	0.11518732625605099	0.9118932312041297	1.3076665353910075	0.8231801856224569	2.414598904296428	0.3663290432302769	3.006921075425774	4.857930321543507	1.0165704753938316	2.677150594993203	3.15752624489807	3.4391205220161285	0.1950281467124421	1.718305581435183	1.1654549588258887	0.5063400576417892	1.7439338936107671	15.762152387310834	1.7097161096630733	0.9542230466779275	0.837755195175384	6.323145952723053	3.588703886099603	1.7951362276293634	4.686627201958851	1.722588927557733	5.14811739975184	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
70000	-5916.395774308626	-211.3707068843089	-5705.025067424317	1.7630657871447226	59.0	4.233694386805326	8.628929022161417	0.7203054762559897	0.24447509210601348	2.596001405952223	3.2580666654566635	1.9361304931932608	3.7108339139062525	1.2160433985197157	1.5961929590487969	0.9480124831979897	0.2015728151771577	0.8604356665878161	1.8703418341703828	2.7583826798785367	2.7685177434010115	2.9875942831445794	0.6279108582358818	0.8261198592286157	2.205879243142744	2.285683055489809	2.0819815958302588	0.38491292903762975	1.0184274075527229	4.324192341399603	2.896600367970722	12.850920398620413	5.922406969865901	1.4296907013863362	4.951666288340968	1.7646185408938264	7.0819057422744285	1.7437452561095548	1.3274417327223083	1.7934941231282076	4.166205344260348	4.721068374334114	5.762998524147152	2.4405749035764845	0.968295253807348	0.6360826396104797	2.3107965339844614	2.9310394510361677	2.1484461019126755	3.8497691329899877	0.6490427223846114	0.45869703585437793	2.186525315608915	1.4682761419313541	2.335028970616525	0.22193498915154486	3.5571291232448514	1.0986872516470463	0.49564738722759305	3.27688215715245	2.167285964367169	5.061475951687229	0.3241461153959578	1.8185018233448729	3.4806463578837836	0.5501025926710196	2.1886231351907353	15.207908776619554	2.818887241582447	1.2059635867604614	0.2068436054714986	4.385290521308225	4.700792062461829	0.8670649972905609	6.262859893345932	3.335855171405495	4.438964364376988	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
80000	-5872.6823748343495	-220.8411212504485	-5651.841253583901	1.7903422786858658	60.0	4.138396241627548	7.163922636768829	0.6335377986753443	0.6792546921321172	0.918315034026794	6.725638820892668	1.4609011891428743	2.058781677170875	2.514108892871839	2.8367694749232086	0.7523434560560874	0.6331107052122705	1.5613584602206312	0.4210391491990756	3.2696333968343265	1.270776853160473	5.251959527947565	2.4111905971501026	1.469796545398203	3.3071123615258635	3.0255777975507705	4.584956848758185	0.5906749821518716	2.890176187269602	4.311949658043153	1.3236792241972015	12.962606642946545	5.756965491992208	0.8950384828582914	3.326233860084053	1.6214635179032746	7.000551132758047	0.6087347209408347	0.9822528512049343	1.3090644329550993	3.7199178461890625	1.429794306153529	8.463546693733388	2.3971314605975955	1.2017359295074264	0.3296729967579816	2.721234793104361	2.412675919000811	3.505301865144873	4.265408411222	0.38766048489554455	0.27303613009612115	1.1804923143239077	2.261417105848079	2.4237805085165576	0.5420267988089774	2.6377415529210255	0.6412484860311256	0.26400946538978	2.058674367779958	6.192130199904386	4.373037255022141	0.31953294377218594	2.3358326365202995	3.8234985883402874	1.272522979412094	2.236535154197192	17.50805343050569	3.5065562013885425	3.647133233185876	0.46218811406393856	7.9332115044138325	2.8913677907664046	1.2750424219094887	4.847760850679378	1.5858740650312906	2.0902451032952536	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
90000	-5937.505015534132	-229.1533678724923	-5708.35164766164	1.8349879552768686	56.0	5.727163294170578	7.9190113003085365	2.184199508510826	3.993196723530977	0.3187689027862046	6.576482616856207	2.1396443154526277	1.9980882777891509	3.014629260591833	4.499099023149762	0.20386632231631768	0.7514460842422689	2.558663338602669	1.2046861247932112	3.001012984056007	1.2828751353482795	3.0714703449896383	0.720312369176662	2.143980201304627	2.028016607254615	2.1148260857065586	2.988643594033181	0.7724682850652219	3.9762429259453067	6.191222810616628	2.0686450920802053	15.681416846601051	3.2217734468530086	1.0767993591681793	2.507384089911658	2.2233074645180104	8.01322240201933	1.0165685977865815	2.270175182608907	1.885337894530033	3.6287881309841223	2.6502772010752285	11.004432088203828	1.4135845221279364	0.5020742687381708	0.36334197847104394	2.6474473358884225	2.3081203560159413	6.295949187694063	4.026719289271011	0.3297744828832906	0.6649886481021672	1.6730681444661757	1.7626986139745946	1.1000519124917083	0.39779819128639987	2.8198397239100976	1.0616593546511113	0.2209470189265505	4.684292243225414	3.4912826890502724	3.0448848461007882	0.7047988448468967	1.3851716577742377	3.7308186152202993	1.3547227698003	4.962937848038413	15.348968727669972	3.0254835908429736	2.075751139405121	0.27494488654072524	4.234996499118228	2.7921190951529007	2.435027062453322	7.080748244430527	0.8037653925532467	1.1681739211479814	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
